atc-code,drugbank-id
B01AE02,BIOD00024
L01XC06,BIOD00071
R05CB13,BIOD00001
L01XX29,BIOD00084
L04AB01,BIOD00052
B01AE06,DB02351
L02AE02,BIOD00009
L03AB11,BIOD00043
B01AD02,BIOD00050
H01AC04,BIOD00033
L03AB06,DB00084
B03XA02,BIOD00032
B01AD04,BIOD00030
L02AE03,BIOD00113
B01AD07,BIOD00013
B03XA01,DB08923
H05BA01,BIOD00025
,BIOD00023
L03AA13,BIOD00094
L03AA09,BIOD00035
V04CK01,BIOD00039
L03AB10,BIOD00048
L01XX02,BIOD00011
V04CJ01,BIOD00020
B02BD02,DBSALT002413
L04AC03,BIOD00060
R02AB30,BIOD00036
,BIOD00091
B01AD03,BIOD00102
A10AD01,DB08914
B01AD11,BIOD00019
G03GA02,BIOD00018
,BIOD00017
L03AB04,DB00037
H01BA02,BIOD00061
B02BD08,BIOD00006
L03AC02,BIOD00021
V03AF08,BIOD00042
H04AA01,BIOD00057
L03AC01,BIOD00082
M03AX01,BIOD00070
R03DX05,BIOD00081
G03GA07,BIOD00056
,BIOD00054
A10AB04,DB01310
A10AE04,DB01308
D03BA02,DB11249
M04AX01,BIOD00090
H01CC02,BIOD00115
L04AB04,BIOD00049
H01AC01,DB06417
A16AB02,BIOD00026
B01AC13,BIOD00041
B01AD10,BIOD00068
L01XC05,BIOD00077
V09IB02,BIOD00108
B02AB02,BIOD00002
L01XX24,BIOD00079
L03AB07,BIOD00093
,BIOD00100
V08DA01,DB00064
B01AC16,BIOD00063
L04AB02,BIOD00004
G03GA06,DB09024
H01BA01,DB09392
L03AB08,BIOD00078
L03AB09,BIOD00062
B06AA03,BIOD00022
A10AE03,BIOD00031
L01XC03,BIOD00098
L01XC02,BIOD00014
L04AC02,BIOD00073
L04AA02,BIOD00005
V03AB24,BIOD00027
V10XX02,BIOD00069
J01XX09,BIOD00111
V10XA53,DB09557
H01AX01,BIOD00044
M03AX01,BIOD00092
A09AA02,DB05356
B06AA55,BIOD00028
L04AA34,BIOD00109
A16AB01,BIOD00037
V09IB04,BIOD00080
A16AB05,BIOD00008
L04AD01,BIOD00003
L04AA15,BIOD00055
,BIOD00114
G03GA04,BIOD00104
L04AA21,BIOD00074
G03GA08,BIOD00034
L04AA04,BIOD00040
L03AA02,DB09560
B02BD09,BIOD00038
D03AX06,BIOD00053
A16AB03,BIOD00075
H01CB02,BIOD00088
L03AB05,DB05600
L02BX01,BIOD00051
G02AC01,BIOD00016
L04AA23,BIOD00083
J05AX07,BIOD00106
J06BB16,BIOD00097
L04AC01,BIOD00007
L01XC07,BIOD00087
V09IA06,BIOD00107
A11HA06,NUTR00045
B03BA01,EXPT00965
,NUTR00056
,NUTR00030
A16AA02,NUTR00052
,DB11194
,NUTR00044
A11HA05,NUTR00019
,NUTR00020
B05XB03,DB11101
B05XB01,NUTR00014
G01AD03,DB11317
,DB02564
,EXPT01823
,NUTR00043
A16AA03,NUTR00026
,EXPT00512
,NUTR00034
,DB03375
