atc-code,atc-level,description
B01AE02,B01AE,Direct thrombin inhibitors
B01AE02,B01A,ANTITHROMBOTIC AGENTS
B01AE02,B01,ANTITHROMBOTIC AGENTS
B01AE02,B,BLOOD AND BLOOD FORMING ORGANS
L01XC06,L01XC,Monoclonal antibodies
L01XC06,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XC06,L01,ANTINEOPLASTIC AGENTS
L01XC06,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
R05CB13,R05CB,Mucolytics
R05CB13,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
R05CB13,R05,COUGH AND COLD PREPARATIONS
R05CB13,R,RESPIRATORY SYSTEM
L01XX29,L01XX,Other antineoplastic agents
L01XX29,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XX29,L01,ANTINEOPLASTIC AGENTS
L01XX29,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AB01,L04AB,Tumor necrosis factor alpha (TNF-α) inhibitors
L04AB01,L04A,IMMUNOSUPPRESSANTS
L04AB01,L04,IMMUNOSUPPRESSANTS
L04AB01,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
B01AE06,B01AE,Direct thrombin inhibitors
B01AE06,B01A,ANTITHROMBOTIC AGENTS
B01AE06,B01,ANTITHROMBOTIC AGENTS
B01AE06,B,BLOOD AND BLOOD FORMING ORGANS
L02AE02,L02AE,Gonadotropin releasing hormone analogues
L02AE02,L02A,HORMONES AND RELATED AGENTS
L02AE02,L02,ENDOCRINE THERAPY
L02AE02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L03AB11,L03AB,Interferons
L03AB11,L03A,IMMUNOSTIMULANTS
L03AB11,L03,IMMUNOSTIMULANTS
L03AB11,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L03AB11,L03AB,Interferons
L03AB11,L03A,IMMUNOSTIMULANTS
L03AB11,L03,IMMUNOSTIMULANTS
L03AB11,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
B01AD02,S01XA,Other ophthalmologicals
B01AD02,S01X,OTHER OPHTHALMOLOGICALS
B01AD02,S01,OPHTHALMOLOGICALS
B01AD02,S,SENSORY ORGANS
B01AD02,B01AD,Enzymes
B01AD02,B01A,ANTITHROMBOTIC AGENTS
B01AD02,B01,ANTITHROMBOTIC AGENTS
B01AD02,B,BLOOD AND BLOOD FORMING ORGANS
H01AC04,V04CD,Tests for pituitary function
H01AC04,V04C,OTHER DIAGNOSTIC AGENTS
H01AC04,V04,DIAGNOSTIC AGENTS
H01AC04,V,VARIOUS
H01AC04,H01AC,Somatropin and somatropin agonists
H01AC04,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01AC04,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01AC04,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
L03AB06,L03AB,Interferons
L03AB06,L03A,IMMUNOSTIMULANTS
L03AB06,L03,IMMUNOSTIMULANTS
L03AB06,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
B03XA02,B03XA,Other antianemic preparations
B03XA02,B03X,OTHER ANTIANEMIC PREPARATIONS
B03XA02,B03,ANTIANEMIC PREPARATIONS
B03XA02,B,BLOOD AND BLOOD FORMING ORGANS
B01AD04,B01AD,Enzymes
B01AD04,B01A,ANTITHROMBOTIC AGENTS
B01AD04,B01,ANTITHROMBOTIC AGENTS
B01AD04,B,BLOOD AND BLOOD FORMING ORGANS
L02AE03,L02AE,Gonadotropin releasing hormone analogues
L02AE03,L02A,HORMONES AND RELATED AGENTS
L02AE03,L02,ENDOCRINE THERAPY
L02AE03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
B01AD07,B01AD,Enzymes
B01AD07,B01A,ANTITHROMBOTIC AGENTS
B01AD07,B01,ANTITHROMBOTIC AGENTS
B01AD07,B,BLOOD AND BLOOD FORMING ORGANS
B03XA01,B03XA,Other antianemic preparations
B03XA01,B03X,OTHER ANTIANEMIC PREPARATIONS
B03XA01,B03,ANTIANEMIC PREPARATIONS
B03XA01,B,BLOOD AND BLOOD FORMING ORGANS
H05BA01,H05BA,Calcitonin preparations
H05BA01,H05B,ANTI-PARATHYROID AGENTS
H05BA01,H05,CALCIUM HOMEOSTASIS
H05BA01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
L03AA13,L03AA,Colony stimulating factors
L03AA13,L03A,IMMUNOSTIMULANTS
L03AA13,L03,IMMUNOSTIMULANTS
L03AA13,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L03AA09,L03AA,Colony stimulating factors
L03AA09,L03A,IMMUNOSTIMULANTS
L03AA09,L03,IMMUNOSTIMULANTS
L03AA09,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V04CK01,V04CK,Tests for pancreatic function
V04CK01,V04C,OTHER DIAGNOSTIC AGENTS
V04CK01,V04,DIAGNOSTIC AGENTS
V04CK01,V,VARIOUS
L03AB10,L03AB,Interferons
L03AB10,L03A,IMMUNOSTIMULANTS
L03AB10,L03,IMMUNOSTIMULANTS
L03AB10,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L03AB10,L03AB,Interferons
L03AB10,L03A,IMMUNOSTIMULANTS
L03AB10,L03,IMMUNOSTIMULANTS
L03AB10,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XX02,L01XX,Other antineoplastic agents
L01XX02,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XX02,L01,ANTINEOPLASTIC AGENTS
L01XX02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V04CJ01,H01AB,Thyrotropin
V04CJ01,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
V04CJ01,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
V04CJ01,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
V04CJ01,V04CJ,Tests for thyreoidea function
V04CJ01,V04C,OTHER DIAGNOSTIC AGENTS
V04CJ01,V04,DIAGNOSTIC AGENTS
V04CJ01,V,VARIOUS
B02BD02,B02BD,Blood coagulation factors
B02BD02,B02B,VITAMIN K AND OTHER HEMOSTATICS
B02BD02,B02,ANTIHEMORRHAGICS
B02BD02,B,BLOOD AND BLOOD FORMING ORGANS
L04AC03,L04AC,Interleukin inhibitors
L04AC03,L04A,IMMUNOSUPPRESSANTS
L04AC03,L04,IMMUNOSUPPRESSANTS
L04AC03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
R02AB30,R02AB,Antibiotics
R02AB30,R02A,THROAT PREPARATIONS
R02AB30,R02,THROAT PREPARATIONS
R02AB30,R,RESPIRATORY SYSTEM
B01AD03,B01AD,Enzymes
B01AD03,B01A,ANTITHROMBOTIC AGENTS
B01AD03,B01,ANTITHROMBOTIC AGENTS
B01AD03,B,BLOOD AND BLOOD FORMING ORGANS
A10AD01,A10AC,"Insulins and analogues for injection, intermediate-acting"
A10AD01,A10A,INSULINS AND ANALOGUES
A10AD01,A10,DRUGS USED IN DIABETES
A10AD01,A,ALIMENTARY TRACT AND METABOLISM
A10AD01,A10AB,"Insulins and analogues for injection, fast-acting"
A10AD01,A10A,INSULINS AND ANALOGUES
A10AD01,A10,DRUGS USED IN DIABETES
