category,drugbank-id,mesh-id
Serpins,BIOD00024,D015843
Serum Globulins,BIOD00071,D012712
Respiratory System,BIOD00001,D012137
Transferases,BIOD00084,D014166
Tumor Necrosis Factor Blocker,BIOD00052,
Serpins,DB02351,D015843
Reproductive Control Agents,BIOD00009,D012102
"Technology, Industry, and Agriculture",BIOD00043,D013676
Serine Proteases,BIOD00050,D057057
Tests for Pituitary Function,BIOD00033,
Proteins,DB00084,D011506
Proteins,BIOD00032,D011506
Serine Proteases,BIOD00030,D057057
QTc Prolonging Agents,BIOD00113,
Serine Proteases,BIOD00013,D057057
Proteins,DB08923,D011506
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",BIOD00025,
Proteins,BIOD00023,D011506
Proteins,BIOD00094,D011506
Proteins,BIOD00035,D011506
Tests for Pancreatic Function,BIOD00039,
"Technology, Industry, and Agriculture",BIOD00048,D013676
Hydrolases,BIOD00011,D006867
Thyrotropin,BIOD00020,D013972
Proteins,DBSALT002413,D011506
Proteins,BIOD00060,D011506
Tyrothricin,BIOD00036,D014449
Serum Globulins,BIOD00091,D012712
Streptokinase,BIOD00102,D013300
Peptides,DB08914,D010455
Serine Proteases,BIOD00019,D057057
Sex Hormones and Modulators of the Genital System,BIOD00018,
Proteins,BIOD00017,D011506
Proteins,DB00037,D011506
Vasopressins,BIOD00061,D014667
Serine Proteases,BIOD00006,D057057
Proteins,BIOD00021,D011506
Proteins,BIOD00042,D011506
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",BIOD00057,
Proteins,BIOD00082,D011506
Venoms,BIOD00070,D014688
Serum Globulins,BIOD00081,D012712
Sex Hormones and Modulators of the Genital System,BIOD00056,
Peptides,DB01310,D010455
Peptides,DB01308,D010455
Preparations for Treatment of Wounds and Ulcers,DB11249,
Recombinant Proteins,BIOD00090,D011994
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",BIOD00115,
Tumor Necrosis Factor Blocker,BIOD00049,
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",DB06417,
Recombinant Proteins,BIOD00026,D011994
Serum Globulins,BIOD00041,D012712
Recombinant Activated Protein C,BIOD00068,
Toxic Actions,BIOD00077,D004786
Tumour Detection,BIOD00108,
Trypsin Inhibitors,BIOD00002,D014361
"Technology, Industry, and Agriculture",BIOD00079,D013676
Recombinant Human Interferon beta,BIOD00093,
Severe Combined Immunodeficiency,BIOD00100,D016511
Ultrasound Contrast Media,DB00064,
"Platelet Glycoprotein GPIIb-IIIa Complex, antagonists & inhibitors",BIOD00063,
Tumor Necrosis Factor Blocker,BIOD00004,
Thyrotropin,DB09024,D013972
Vasopressins,DB09392,D014667
Proteins,BIOD00078,D011506
Proteins,BIOD00062,D011506
Proteins,BIOD00022,D011506
Proteins,BIOD00031,D011506
Serum Globulins,BIOD00098,D012712
Serum Globulins,BIOD00014,D012712
Serum Globulins,BIOD00073,D012712
Serum Globulins,BIOD00005,D012712
Serum,BIOD00027,D044967
Yttrium Radioisotopes,BIOD00069,D015021
Polycyclic Compounds,BIOD00111,D011083
Therapeutic Radiopharmaceuticals,DB09557,
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",BIOD00044,
"Toxins, Biological",BIOD00092,D014118
Tissue Extracts,DB05356,D014020
Serine Proteases,BIOD00028,D057057
Serum Globulins,BIOD00109,D012712
Recombinant Proteins,BIOD00037,D011994
Tumour Detection,BIOD00080,
Hydrolytic Lysosomal Glycosaminoglycan-specific Enzyme,BIOD00008,
Sensory Organs,BIOD00003,
Selective Immunosuppressants,BIOD00055,
Vasopressins,BIOD00114,D014667
Sex Hormones and Modulators of the Genital System,BIOD00104,
Serum Globulins,BIOD00074,D012712
Sex Hormones and Modulators of the Genital System,BIOD00034,
Serum Globulins,BIOD00040,D012712
Proteins,DB09560,D011506
Hemostatics,BIOD00038,D006490
Stomatological Preparations,BIOD00053,
Proteins,BIOD00075,D011506
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",BIOD00088,
Proteins,DB05600,D011506
Peptides,BIOD00051,D010455
Uterotonics,BIOD00016,
Serum Globulins,BIOD00083,D012712
Viral Structural Proteins,BIOD00106,D015678
Specific Immunoglobulins,BIOD00097,
Serum Globulins,BIOD00007,D012712
Vascular Endothelial Growth Factor Inhibitor,BIOD00087,
Tumour Detection,BIOD00107,
Vitamins,NUTR00045,D014815
Vitamins,EXPT00965,D014815
Supplements,NUTR00056,
Supplements,NUTR00030,
Supplements,NUTR00052,
Supplements,DB11194,
Supplements,NUTR00044,
Vitamins,NUTR00019,D014815
Vitamin B Complex,NUTR00020,D014803
Supplements,DB11101,
Supplements,NUTR00014,
Vitamins,DB11317,D014815
Xanthine Oxidase Inhibitors,DB02564,
Supplements,EXPT01823,
Supplements,NUTR00043,
Supplements,NUTR00026,
Supplements,EXPT00512,
Supplements,NUTR00034,
Supplements,DB03375,
Supplements,NUTR00038,
Supplements,NUTR00059,
Vitamins (Fat Soluble),DB05314,
Supplements,DB11138,
Supplements,NUTR00023,
Supplements,NUTR00054,
Vitamins,DB09358,D014815
Supplements,NUTR00040,
Supplements,NUTR00027,
Supplements,EXPT01650,
Supplements,NUTR00048,
Supplements,NUTR00028,
Vitamins,APRD00428,D014815
Vitamins,NUTR00049,D014815
Supplements,NUTR00022,
Supplements,NUTR00033,
Supplements,EXPT02064,
Supplements,DB09485,
Vitamins,EXPT03222,D014815
Vitamins,APRD00426,D014815
Supplements,NUTR00032,
Supplements,NUTR00021,
Supplements,NUTR00057,
Supplements,DB03527,
Vitamins,NUTR00025,D014815
Supplements,NUTR00024,
Supplements,NUTR00013,
Dietary Supplements,NUTR00060,D019587
Vitamins (Fat Soluble),APRD00486,
Vitamins (Fat Soluble),EXPT03227,
Vitamins,APRD00204,D014815
Vitamins,NUTR00035,D014815
Supplements,NUTR00031,
Sweetening Agents,NUTR00046,D013549
Vitamins,APRD00506,D014815
Vitamins,NUTR00062,D014815
Supplements,EXPT00007,
Supplements,NUTR00047,
UGT1A1 Inhibitors,EXPT00520,
Supplements,NUTR00015,
Toxic Actions,APRD00328,D004786
Tranquilizing Agents,APRD00425,D014149
Valine,APRD00133,D014633
Protease Inhibitors,APRD00009,D011480
Specialty Uses of Chemicals,DB05900,D020313
"Steroids, Fluorinated",APRD00976,D013259
Peripheral Nervous System Agents,APRD00551,D018373
Sympathomimetics,APRD00480,D013566
Tests for Gastric Secretion,APRD01172,
Solanaceous Alkaloids,DB11303,D012991
Sulfur Compounds,APRD00224,D013457
Tranquilizing Agents,APRD00116,D014149
Propanols,APRD00954,D020005
QTc Prolonging Agents,DB07475,
Psycholeptics,APRD00958,
Tyrosine,APRD00160,D014443
Sympathomimetics,APRD00093,D013566
"Polycyclic Hydrocarbons, Aromatic",APRD01032,D011084
UGT1A1 Substrates,APRD00028,
Toxic Actions,EXPT02753,D004786
Sympatholytics,APRD00245,D013565
Triazoles,APRD00327,D014230
UGT1A6 Inhibitors,APRD00488,
Polycyclic Compounds,APRD01148,D011083
Sensory Organs,APRD00953,
Vitamins,APRD01022,D014815
Xanthine derivatives,APRD00673,D013806
Trimethyl Ammonium Compounds,APRD00159,D050337
Vasodilating Agents,APRD00556,D014665
Sulfur Compounds,APRD00367,D013457
Pyrimidines,APRD00599,D011743
Yohimbine,APRD00472,D015016
Sensory Organs,APRD00397,
Thiophenes,APRD01257,D013876
Urologicals,APRD00393,
Sensory System Agents,APRD00780,D018689
Vasoconstrictor Agents,APRD01116,D014662
Renin-Inhibitors,APRD00163,
Sulfur Compounds,APRD00073,D013457
Sulfur Compounds,APRD00217,D013457
Vasodilating Agents,APRD00147,D014665
Triptans,APRD00945,D014363
Sympatholytics,APRD00825,D013565
Topoisomerase Inhibitors,APRD00281,D059003
"Synthetic Anticholinergics, Quaternary Ammonium Compounds",APRD00189,
UGT1A1 Inducers,APRD00003,
Selective Beta 2-adrenergic Agonists,APRD00750,
Urea,APRD00381,D014508
"Steroids, Fluorinated",APRD00921,D013259
UGT1A1 Inhibitors,APRD00069,
Specialty Uses of Chemicals,APRD00990,D020313
Cardiovascular Agents,APRD01006,D002317
UGT1A1 Substrates,APRD00370,
Nervous System,APRD00234,D009420
Thiazines,APRD00855,D013843
Vasodilating Agents,APRD01198,D014665
Tranquilizing Agents,APRD00676,D014149
"Thiazides, Plain",APRD01104,
Salicylates,DB09367,D012459
Psychotropic Drugs,APRD00198,D011619
Vasodilating Agents,APRD00010,D014665
Toxic Actions,APRD00693,D004786
Pyrimidinones,APRD00752,D011744
Reverse Transcriptase Inhibitors,DB08311,D018894
Imidazole Derivatives,APRD01154,
Steroids,APRD00783,D013256
Pyrimidinones,APRD00266,D011744
Ribonucleosides,APRD00260,D012263
Vasodilating Agents,APRD01300,D014665
Sensory System Agents,DB06396,D018689
Tropanes,APRD00748,D014326
Tranquilizing Agents,APRD00540,D014149
Vasoconstrictor Agents,APRD00463,D014662
Serotonin Receptor Agonists,APRD00836,D017366
Uridine,DB03778,D014529
Sulfur Compounds,APRD00345,D013457
Triazole Derivatives,APRD00659,
Voltage-Gated Sodium Channel Blockers,APRD00241,D061567
Steroids,APRD01091,D013256
Tetracyclines,APRD00597,D013754
Toxic Actions,EXPT01164,D004786
Tetracyclines,EXPT01049,D013754
Stomatological Preparations,APRD00244,
Vitamins,APRD00839,D014815
Sulfur Compounds,APRD00438,D013457
Toxic Actions,DB03123,D004786
Thrombocytosis,APRD00798,D013922
Urea,APRD00006,D014508
Sulfur Compounds,APRD00595,D013457
Sympatholytics,APRD00208,D013565
Toxic Actions,APRD00211,D004786
Vitamin K Antagonists,APRD00761,
Third-Generation Cephalosporins,APRD00851,
Serotonin Receptor Agonists,APRD00302,D017366
Stilbenes,APRD00715,D013267
Vasodilating Agents,APRD00298,D014665
"X-Ray Contrast Media, Iodinated",APRD00913,
Tests for Gastric Secretion,APRD00714,
Specialty Uses of Chemicals,APRD00237,D020313
Thiazines,APRD00852,D013843
Tetrazoles,APRD00223,D013777
Specialty Uses of Chemicals,APRD00064,D020313
Xanthines and Adrenergics,DB09359,
Serine Proteinase Inhibitors,APRD00105,D015842
Thyroxine,APRD01074,D013974
Voltage-Gated Sodium Channel Blockers,APRD00507,D061567
Voltage-Gated Sodium Channel Blockers,DB05291,D061567
Organophosphorus Compounds,APRD01161,D009943
Respiratory System,APRD00875,D012137
Trisaccharides,APRD00656,D014312
Serotonin Modulators,APRD00125,
Sex Hormones and Modulators of the Genital System,APRD00396,
Sensory Organs,APRD01271,
"Steroids, Fluorinated",APRD00788,D013259
QTc Prolonging Agents,APRD00614,
Peptides,EXPT00718,D010455
Toxic Actions,APRD00115,D004786
Nervous System,APRD00965,D009420
Toxic Actions,EXPT01092,D004786
Steroids,APRD00766,D013256
