class,description,direct-parent,drugbank-id,kingdom,subclass,superclass
Carboxylic Acids and Derivatives,,Peptides,BIOD00024,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00071,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00001,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00084,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00052,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Polypeptides,This compound belongs to the class of organic compounds known as polypeptides. These are peptides containing ten or more amino acid residues.,Polypeptides,DB02351,Organic compounds,,Organic Polymers
Carboxylic Acids and Derivatives,,Peptides,BIOD00009,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00043,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00050,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00033,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB00084,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00032,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00030,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.,Oligopeptides,BIOD00113,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic Acids and Derivatives,,Peptides,BIOD00013,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB08923,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00025,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00023,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00094,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00035,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00039,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00048,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00011,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00020,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DBSALT002413,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00060,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Polypeptides,This compound belongs to the class of organic compounds known as polypeptides. These are peptides containing ten or more amino acid residues.,Polypeptides,BIOD00036,Organic compounds,,Organic Polymers
Carboxylic Acids and Derivatives,,Peptides,BIOD00091,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00102,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB08914,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00019,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00018,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00017,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB00037,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic acids and derivatives,This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.,Oligopeptides,BIOD00061,Organic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives
Carboxylic Acids and Derivatives,,Peptides,BIOD00006,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00021,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00042,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00057,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00082,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00070,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00081,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00056,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00054,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB01310,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB01308,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB11249,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,BIOD00090,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Polypeptides,This compound belongs to the class of organic compounds known as polypeptides. These are peptides containing ten or more amino acid residues.,Polypeptides,BIOD00115,Organic compounds,,Organic Polymers
Carboxylic Acids and Derivatives,,Peptides,BIOD00049,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
Carboxylic Acids and Derivatives,,Peptides,DB06417,Organic Compounds,"Amino Acids, Peptides, and Analogues",Organic Acids
