drugbank-id,form,route,strength
BIOD00024,"Powder, for solution",Intravenous,50 mg
BIOD00071,Solution,Intravenous,2 mg/mL
BIOD00001,Solution,Respiratory (inhalation),1 mg
BIOD00084,"Injection, solution",Intravenous,150 ug/mL
BIOD00052,Solution,Subcutaneous,25 mg
DB02351,Injection,Intravenous,500 mg/100mL
BIOD00009,"Injection, powder, for suspension, extended release; kit",Intramuscular,5.06 mg
BIOD00043,Solution; tablet,Oral; Subcutaneous,
BIOD00050,"Powder, for solution",Intravenous,
DB00084,Liquid,Intramuscular; Subcutaneous,3000000 unit
BIOD00032,Solution,Intravenous; Subcutaneous,60 mcg
BIOD00030,"Powder, for solution",Intravenous,5000 unit
BIOD00113,Implant,Subcutaneous,10.8 mg
BIOD00013,"Powder, for solution",Intravenous,10.4 unit
DB08923,"Injection, solution",Intravenous; Subcutaneous,3000 IU/0.9ml
BIOD00025,Liquid,Nasal,200 unit
BIOD00023,Injection,Subcutaneous,5000000 [arb'U]/mL
BIOD00094,"Injection, solution",Subcutaneous,6 mg
BIOD00035,Liquid,Intravenous; Subcutaneous,500 ug/mL
BIOD00039,"Powder, for solution",Intravenous,75 unit
BIOD00048,"Powder, for solution",Subcutaneous,74 mcg
BIOD00011,"Injection, powder, for solution",Intravenous,10000 U
BIOD00020,"Powder, for solution",Intramuscular,0.9 mg
DBSALT002413,Kit,,
BIOD00060,Solution,Subcutaneous,150 mg
BIOD00036,Ointment,Topical,
BIOD00091,Liquid,Intramuscular; Intravenous,600 [iU]/mL
BIOD00102,"Powder, for solution",Intravenous,30 unit
DB08914,Liquid,Intramuscular; Intravenous; Subcutaneous,100 unit
BIOD00019,"Powder, for solution",Intravenous,50 mg
BIOD00018,"Powder, for solution",Intramuscular; Subcutaneous,75 unit
BIOD00017,"Injection, solution",Subcutaneous,100 ug/.5mL
DB00037,Solution,Intramuscular; Subcutaneous,36000000 unit
BIOD00061,"Spray, metered",Nasal,1.5 mg/mL
BIOD00006,Kit,,
BIOD00021,Kit,,
BIOD00042,"Powder, for solution",Intravenous,6.25 mg
BIOD00057,"Powder, for solution",Intramuscular; Intravenous; Subcutaneous,1 mg
BIOD00082,"Powder, for solution",Intravenous,22000000 unit
BIOD00070,Solution,Intramuscular,5000 unit
BIOD00081,Solution,Subcutaneous,75 mg
BIOD00056,Solution,Subcutaneous,
DB01310,Liquid,Intramuscular; Intravenous; Subcutaneous,100 unit
DB01308,Solution,Subcutaneous,300 unit
DB11249,"Injection, powder, for solution",Intralesional,0.9 mg
BIOD00090,"Powder, for solution",Intravenous,7.5 mg
BIOD00115,"Powder, for solution",Subcutaneous,3 mg
BIOD00049,Solution,Subcutaneous,80 mg
DB06417,Kit,Subcutaneous,
BIOD00026,"Powder, for solution",Intravenous,400 unit
BIOD00041,Solution,Intravenous,2 mg
BIOD00068,"Powder, for solution",Intravenous,5 mg
BIOD00077,"Injection, powder, lyophilized, for solution",Intravenous,5 mg/5mL
BIOD00002,"Kit; powder, for solution",Intravenous,1000 mg
BIOD00079,Solution,Intramuscular; Intravenous,750 unit
BIOD00093,Kit,Subcutaneous,
BIOD00100,"Injection, solution",Intramuscular,250 [iU]/mL
DB00064,Solution,Intravenous,0.03 %
BIOD00063,Solution,Intravenous,2 mg
BIOD00004,"Injection, powder, lyophilized, for solution",Intravenous,100 mg/1
DB09024,Solution,Subcutaneous,72 mcg
