description,drugbank-id,name,reagent-id
The risk or severity of adverse effects can be increased when Lepirudin is combined with Azficel-T.,BIOD00024,Azficel-T,DB11051
Cyclophosphamide may increase the cardiotoxic activities of Cetuximab.,BIOD00071,Cyclophosphamide,DB00531
Cyclophosphamide may increase the cardiotoxic activities of Denileukin diftitox.,BIOD00084,Cyclophosphamide,DB00531
The risk or severity of adverse effects can be increased when Etanercept is combined with Pitolisant.,BIOD00052,Pitolisant,DB11642
The risk or severity of adverse effects can be increased when Bivalirudin is combined with Azficel-T.,DB02351,Azficel-T,DB11051
"The therapeutic efficacy of (1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE can be decreased when used in combination with Leuprolide.",BIOD00009,"(1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE",DB08044
The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Zidovudine.,BIOD00043,Zidovudine,DB00495
The risk or severity of adverse effects can be increased when Alteplase is combined with Treprostinil.,BIOD00050,Treprostinil,DB00374
The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Zidovudine.,DB00084,Zidovudine,DB00495
Darbepoetin alfa may increase the thrombogenic activities of Thalidomide.,BIOD00032,Thalidomide,DB01041
The risk or severity of adverse effects can be increased when Urokinase is combined with Treprostinil.,BIOD00030,Treprostinil,DB00374
"The therapeutic efficacy of (1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE can be decreased when used in combination with Goserelin.",BIOD00113,"(1S,6R)-3-{[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]CARBONYL}-6-(2,4,5-TRIFLUOROPHENYL)CYCLOHEX-3-EN-1-AMINE",DB08044
The risk or severity of adverse effects can be increased when Reteplase is combined with Treprostinil.,BIOD00013,Treprostinil,DB00374
Erythropoietin may increase the thrombogenic activities of Thalidomide.,DB08923,Thalidomide,DB01041
The serum concentration of Lithium can be decreased when it is combined with Salmon Calcitonin.,BIOD00025,Lithium,DB01356
The risk or severity of adverse effects can be increased when Interferon alfa-n3 is combined with Zidovudine.,BIOD00023,Zidovudine,DB00495
The therapeutic efficacy of Pegfilgrastim can be decreased when used in combination with Pegloticase.,BIOD00094,Pegloticase,DB09208
The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Sargramostim.,BIOD00035,Cyclophosphamide,DB00531
The therapeutic efficacy of Secretin can be decreased when used in combination with Methscopolamine.,BIOD00039,Methscopolamine,DB11315
The serum concentration of Zotepine can be increased when it is combined with Peginterferon alfa-2b.,BIOD00048,Zotepine,DB09225
The serum concentration of Dexamethasone can be increased when it is combined with Asparaginase Escherichia coli.,BIOD00011,Dexamethasone,DB01234
"The risk or severity of hypercoagulability can be increased when Emicizumab is combined with Antihemophilic factor, human recombinant.",DBSALT002413,Emicizumab,DB13923
Trastuzumab may increase the neutropenic activities of Anakinra.,BIOD00060,Trastuzumab,DB00072
The serum concentration of Brentuximab vedotin can be increased when it is combined with Gramicidin D.,BIOD00036,Brentuximab vedotin,DB08870
The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Immune Globulin Human.,BIOD00091,Hepatitis B Vaccine (Recombinant),DB11627
The risk or severity of adverse effects can be increased when Anistreplase is combined with Treprostinil.,BIOD00102,Treprostinil,DB00374
Trolamine salicylate may increase the hypoglycemic activities of Insulin Human.,DB08914,Trolamine salicylate,DB11079
The risk or severity of adverse effects can be increased when Tenecteplase is combined with Treprostinil.,BIOD00019,Treprostinil,DB00374
