drugbank-id,name
BIOD00024,Refludan
BIOD00071,Erbitux
BIOD00001,Pulmozyme 1mg/ml
BIOD00084,Ontak
BIOD00052,Erelzi
DB02351,Bivalirudin in 0.9% Sodium Chloride
BIOD00009,Zeulide Depot
BIOD00043,Pegasys Rbv
BIOD00050,Lysatec RT - Pa
BIOD00033,
DB00084,Wellferon Inj 3000000unit/ml
BIOD00032,Nespo
BIOD00030,Kinlytic Open-cath
BIOD00113,Zoladex LA
BIOD00013,Retavase
DB08923,Silapo
BIOD00025,Sandoz-calcitonin NS
BIOD00023,Alferon
BIOD00094,Neupopeg
BIOD00035,Leukine
BIOD00039,Secretin Inj 75unit/vial
BIOD00048,Victrelis Triple
BIOD00011,Spectrila
BIOD00020,Thyrogen
DBSALT002413,Xyntha
BIOD00060,Kineret
BIOD00036,Viaderm Kc Ont
BIOD00091,Winrho
BIOD00102,Eminase 30 Units
DB08914,Velosulin
BIOD00019,TNKase
BIOD00018,Repronex
BIOD00017,Actimmune
DB00037,Roferon-A Solution Inj 36000000unit/ml
BIOD00061,Teva-desmopressin
BIOD00006,NovoSeven RT
BIOD00021,Neumega
BIOD00042,Kepivance
BIOD00057,Glucagon Ampoule 666 1mg
BIOD00082,Proleukin
BIOD00070,Myobloc
BIOD00081,Xolair
BIOD00056,Pergoveris
BIOD00054,
DB01310,Liprolog Mix50 Kwikpen
DB01308,Toujeo Solostar
DB11249,Xiapex
BIOD00090,Fasturtec
BIOD00115,Cetrotide
BIOD00049,Humira
DB06417,Zorbtive
BIOD00026,Cerezyme
BIOD00041,Reopro
BIOD00068,Xigris (5mg/vial)
BIOD00077,Mylotarg
BIOD00108,
BIOD00002,Zemaira
BIOD00079,Oncaspar
BIOD00093,Rebif Rebidose
BIOD00100,Adagen
DB00064,Sterile Diluent for Allergenic Extracts Normal Saline With Hsa
BIOD00063,Integrilin
BIOD00004,Renflexis
DB09024,Rekovelle
DB09392,Vasostrict
BIOD00078,Extavia
BIOD00062,Infergen
BIOD00022,Wydase Injection Liq 150 Units/ml
BIOD00031,Hypurin Regular Insulin Pork
BIOD00098,Perjeta-herceptin
BIOD00014,Rituxan Sc
BIOD00073,Simulect
BIOD00005,Orthoclone Okt 3 Sterile Solution  IV 1mg/ml
BIOD00027,DigiFab
BIOD00069,Zevalin
BIOD00111,Daptomycin
DB09557,Bexxar Therapy
BIOD00044,Somavert
BIOD00092,Xeomin Cosmetic
DB05356,Zypanax
BIOD00028,Streptase Inj 750000unit/vial
BIOD00109,Mabcampath
BIOD00037,
BIOD00080,ProstaScint Kit for the Preparation of Indium In 111 Capromab Pendetide
BIOD00008,Aldurazyme
BIOD00003,Teva-cyclosporine
BIOD00055,Amevive
BIOD00114,
BIOD00104,Pergonal 75 I.U.
BIOD00074,Raptiva
BIOD00034,Ovitrelle
BIOD00040,Thymoglobulin
DB09560,Zarxio
BIOD00038,Rixubis
BIOD00053,Regranex (becaplermin) 0.01%
BIOD00075,Replagal
BIOD00088,Sandostatin LAR Depot Demonstration Kit
DB05600,Rebetron Solution (albumin (human) Free) (18 Miu Multi-dose Pen / 200mg Capsules)
BIOD00051,
BIOD00016,Pitocin
BIOD00083,Tysabri
BIOD00106,Fuzeon
BIOD00097,Synagis
BIOD00007,Zinbryta Pen
BIOD00087,Mvasi
BIOD00107,
NUTR00045,Vita-Rx Diabetic Vitamin
EXPT00965,Zoo Chews Plus Iron
NUTR00056,
NUTR00030,Vamin N
NUTR00052,
DB11194,Rejuvesol
NUTR00044,Vamin N
NUTR00019,Women's Formula
NUTR00020,Women's Formula
DB11101,Vamin N
NUTR00014,Vamin N
DB11317,Zymain Tab
DB02564,
EXPT01823,Vamin N
NUTR00043,Primene 10%-liq IV
NUTR00026,NutreStore
EXPT00512,
NUTR00034,UltimateCare ONE NF
DB03375,Vamin N
NUTR00038,Women's Biomultiple Vitamin and Mineral Supplement
NUTR00059,Vamin N
DB05314,Vectical
DB11138,Tozal
NUTR00023,Medi Msm (methyl Sulfonyl Methane)
NUTR00054,Niferex
DB09358,Zoo Chews Plus Iron
NUTR00040,
NUTR00027,Vamin N
EXPT01650,Bss Plus
NUTR00048,EnLyte
NUTR00028,Vamin N
APRD00428,Rayaldee
NUTR00049,
NUTR00022,
NUTR00033,Vamin N
EXPT02064,Vamin N
DB09485,Vamin N
EXPT03222,Zoo Chews Plus Iron
APRD00426,Zoo Chews
NUTR00032,
NUTR00021,Lipovite
NUTR00057,Vamin N
DB03527,Lexazin
NUTR00025,Zoo Chews Plus Iron
NUTR00024,Vp-CH-pnv
NUTR00013,Vamin N
NUTR00060,Vamin N
APRD00486,Zoo Chews Plus Iron
EXPT03227,Zoo Chews
APRD00204,Zoo Chews Plus Iron
NUTR00035,Vita-Rx Diabetic Vitamin
NUTR00031,Vamin N
NUTR00046,
APRD00506,Zolate
NUTR00062,
EXPT00007,
NUTR00047,Vamin N
EXPT00520,TERUFLEX Blood Bag System with Diversion Blood Sampling Arm Anticoagulant Citrate Phosphate Dextrose (CPD) AND OPTISOL (AS-5) Red Cell Preservative
NUTR00015,
APRD00328,Teva-pravastatin
APRD00425,Sandoz Fluvoxamine
APRD00133,Valsartan-hctz
APRD00009,Van-ramipril
DB05900,
APRD00976,Rhinalar Nasal Mist
APRD00551,Sandoz Baclofen
APRD00480,Sandoz Amphetamine XR
APRD01172,Peptavlon Liq Inj 0.25mg/ml
DB11303,Zonnic Nicotine Polacrilex
APRD00224,Evoxac
APRD00116,Teva-lorazepam
APRD00954,Esmolol Hydrochloride
