drugbank-id,kind,source,value
BIOD00024,Melting Point,"Otto, A. & Seckler, R. Eur. J. Biochem. 202:67-73 (1991)",65 °C
BIOD00024,Hydrophobicity,,-0.777
BIOD00024,Isoelectric Point,,4.04
BIOD00024,Molecular Weight,,6963.425
BIOD00024,Molecular Formula,,C287H440N80O110S6
BIOD00071,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00071,Hydrophobicity,,-0.413
BIOD00071,Isoelectric Point,,8.48
BIOD00071,Molecular Weight,,145781.6
BIOD00071,Molecular Formula,,C6484H10042N1732O2023S36
BIOD00001,Melting Point,"Chan, H.K. et al., Pharm Res. 13:756-761 (1996)",67 °C
BIOD00001,Hydrophobicity,,-0.083
BIOD00001,Isoelectric Point,,4.58
BIOD00001,Molecular Weight,,29253.9
BIOD00001,Molecular Formula,,C1321H1999N339O396S9
BIOD00084,Hydrophobicity,,-0.301
BIOD00084,Isoelectric Point,,5.45
BIOD00084,Molecular Weight,,57647.3
BIOD00084,Molecular Formula,,C2560H4042N678O799S17
BIOD00052,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",71 °C (whole mAb)
BIOD00052,Hydrophobicity,,-0.529
BIOD00052,Isoelectric Point,,7.89
BIOD00052,Molecular Weight,,51234.9
BIOD00052,Molecular Formula,,C2224H3475N621O698S36
BIOD00009,Hydrophobicity,,0.1
BIOD00009,Molecular Weight,,1209.3983
BIOD00009,Molecular Formula,,C59H84N16O12
BIOD00043,Melting Point,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",61 °C
BIOD00043,Isoelectric Point,,5.99
BIOD00043,Molecular Weight,,60000.0
BIOD00050,Melting Point,"Novokhatny, V.V. et al., J. Biol. Chem. 266:12994-123002 (1991)",60 °C
BIOD00050,Hydrophobicity,,-0.516
BIOD00050,Isoelectric Point,,7.61
BIOD00050,Molecular Weight,,59042.3
BIOD00050,Molecular Formula,,C2569H3928N746O781S40
BIOD00033,Hydrophobicity,,-0.330
BIOD00033,Isoelectric Point,,9.99
BIOD00033,Molecular Weight,,3357.882
BIOD00033,Molecular Formula,,C149H246N44O42S
DB00084,Melting Point,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",61 °C
DB00084,Hydrophobicity,,-0.336
DB00084,Isoelectric Point,,5.99
DB00084,Molecular Weight,,19241.1
DB00084,Molecular Formula,,C860H1353N227O255S9
BIOD00032,Melting Point,"Arakawa, T. et al., Biosci. Biotechnol. Biochem. 65:1321-1327 (2001)",53 °C
BIOD00032,Hydrophobicity,,-0.188
BIOD00032,Isoelectric Point,,8.75
BIOD00032,Molecular Weight,,18396.1
BIOD00032,Molecular Formula,,C815H1317N233O241S5
BIOD00030,Melting Point,"Nowak, U.K. et al., Biochemistry 33:2951-2960 (1994)",76 °C at pH 4.5
BIOD00030,Hydrophobicity,,-0.466
BIOD00030,Isoelectric Point,,8.66
BIOD00030,Molecular Weight,,31126.5
BIOD00030,Molecular Formula,,C1376H2145N383O406S18
BIOD00113,Water Solubility,,Soluble
BIOD00113,logP,,-2
BIOD00013,Melting Point,"Novokhatny, V.V. et al., J. Biol. Chem. 266:12994-123002 (1991)",60 °C
BIOD00013,Hydrophobicity,,-0.435
BIOD00013,Isoelectric Point,,6.86
BIOD00013,Molecular Weight,,39589.6
BIOD00013,Molecular Formula,,C1736H2671N499O522S22
DB08923,Melting Point,"Arakawa, T. et al., Biosci. Biotechnol. Biochem. 65:1321-1327 (2001)",53 °C
DB08923,Isoelectric Point,,8.75
DB08923,Molecular Weight,,18396.1
DB08923,Molecular Formula,,C815H1317N233O241S5
BIOD00025,Hydrophobicity,,-0.537
BIOD00025,Isoelectric Point,,8.86
BIOD00025,Molecular Weight,,3431.853
BIOD00025,Molecular Formula,,C145H240N44O48S2
BIOD00023,Melting Point,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",61 °C
BIOD00023,Isoelectric Point,,5.99
BIOD00094,Melting Point,"Luo, P., Protein Science 11:1218-1226 (2002)",60 °C
BIOD00094,Hydrophobicity,,0.209
BIOD00094,Isoelectric Point,,5.65
BIOD00094,Molecular Weight,,18802.8
BIOD00094,Molecular Formula,,C845H1343N223O243S9
BIOD00035,Isoelectric Point,,5.05
BIOD00035,Molecular Weight,,14434.5
BIOD00035,Molecular Formula,,C639H1006N168O196S8
BIOD00039,Hydrophobicity,,-0.463
BIOD00039,Isoelectric Point,,9.45
BIOD00039,Molecular Weight,,3056.4
BIOD00039,Molecular Formula,,C130H219N43O42
BIOD00048,Melting Point,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",61 °C
BIOD00048,Isoelectric Point,,5.99
BIOD00048,Molecular Weight,,31000.0
BIOD00011,Hydrophobicity,,0.059
BIOD00011,Isoelectric Point,,4.67
BIOD00011,Molecular Weight,,31731.9
BIOD00011,Molecular Formula,,C1377H2208N382O442S17
BIOD00020,Melting Point,,55 °C
BIOD00020,Hydrophobicity,,-0.330
BIOD00020,Isoelectric Point,,7.50
BIOD00020,Molecular Weight,,22672.9
BIOD00020,Molecular Formula,,C975H1513N267O304S26
DBSALT002413,Hydrophobicity,,-0.533
DBSALT002413,Isoelectric Point,,6.97
DBSALT002413,Molecular Weight,,264725.5
DBSALT002413,Molecular Formula,,C11794H18314N3220O3553S83
BIOD00060,Hydrophobicity,,-0.412
BIOD00060,Isoelectric Point,,5.46
BIOD00060,Molecular Weight,,17257.6
BIOD00060,Molecular Formula,,C759H1186N208O232S10
BIOD00036,Melting Point,,229 °C
BIOD00091,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00091,Hydrophobicity,,-0.331
BIOD00091,Isoelectric Point,,8.13
BIOD00091,Molecular Weight,,142682.3
BIOD00091,Molecular Formula,,C6332H9826N1692O1980S42
BIOD00102,Melting Point,"Novokhatny, V.V. et al., J. Biol. Chem. 266:12994-123002 (1991)",60 °C
BIOD00102,Hydrophobicity,,-0.516
BIOD00102,Isoelectric Point,,7.61
BIOD00102,Molecular Weight,,59042.3
BIOD00102,Molecular Formula,,C2569H3928N746O781S40
DB08914,Melting Point,"Khachidze, D.G. et al., J. Biol. Phys. Chem. 1:64-67 (2001)",81 °C
DB08914,Hydrophobicity,,0.218
DB08914,Isoelectric Point,,5.39
DB08914,Molecular Weight,,5808.0
DB08914,Molecular Formula,,C257H383N65O77S6
BIOD00019,Melting Point,"Novokhatny, V.V. et al., J. Biol. Chem. 266:12994-123002 (1991)",60 °C
BIOD00019,Hydrophobicity,,-0.528
BIOD00019,Isoelectric Point,,7.61
BIOD00019,Molecular Weight,,58951.2
BIOD00019,Molecular Formula,,C2561H3919N747O781S40
BIOD00018,Melting Point,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",55 °C
BIOD00018,Hydrophobicity,,-0.063
BIOD00018,Isoelectric Point,,8.44
BIOD00018,Molecular Weight,,23390.3
BIOD00018,Molecular Formula,,C1014H1609N287O294S27
BIOD00017,Melting Point,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",61 °C
BIOD00017,Hydrophobicity,,-0.823
BIOD00017,Isoelectric Point,,9.54
BIOD00017,Molecular Weight,,17145.6
BIOD00017,Molecular Formula,,C761H1206N214O225S6
DB00037,Water Solubility,,100 mg/ml
DB00037,Hydrophobicity,,-0.336
DB00037,Isoelectric Point,,5.99
DB00037,Molecular Weight,,19241.1
DB00037,Molecular Formula,,C860H1353N227O255S9
BIOD00006,Melting Point,"Petersen, L.C. et al., Eur. J. Biochem 261: 124-129 (1999)",58 °C
BIOD00006,Hydrophobicity,,-0.311
BIOD00006,Isoelectric Point,,6.09
BIOD00006,Molecular Weight,,45079.1
BIOD00006,Molecular Formula,,C1972H3076N560O597S28
BIOD00021,Hydrophobicity,,-0.070
BIOD00021,Isoelectric Point,,11.16
BIOD00021,Molecular Weight,,19047.2
BIOD00021,Molecular Formula,,C854H1411N253O235S2
BIOD00042,Hydrophobicity,,-0.650
BIOD00042,Isoelectric Point,,9.47
BIOD00042,Molecular Weight,,16192.7
BIOD00042,Molecular Formula,,C721H1142N202O204S9
BIOD00057,Hydrophobicity,,-1.197
BIOD00057,Isoelectric Point,,9.52
BIOD00057,Molecular Weight,,3767.1
BIOD00057,Molecular Formula,,C165H249N49O51S1
BIOD00082,Hydrophobicity,,-0.192
BIOD00082,Isoelectric Point,,7.31
BIOD00082,Molecular Weight,,15314.8
BIOD00082,Molecular Formula,,C690H1115N177O202S6
BIOD00070,Molecular Weight,,150804.0
BIOD00081,Melting Point,"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)","61 °C (FAB fragment), 71 °C (whole mAb)"
BIOD00081,Hydrophobicity,,-0.432
BIOD00081,Isoelectric Point,,7.03
BIOD00081,Molecular Weight,,145058.2
BIOD00081,Molecular Formula,,C6450H9916N1714O2023S38
BIOD00056,Melting Point,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",55 °C
BIOD00056,Hydrophobicity,,-0.063
BIOD00056,Isoelectric Point,,8.44
BIOD00056,Molecular Weight,,30000.0
