drugbank-id,interaction
DB02351,"Dan shen, dong quai, evening primrose oil, gingko, policosanol, willow bark"
DB02351,Echinacea
BIOD00043,Recommended adequate hydration.
DB00084,Avoid alcohol.
DB00037,Avoid alcohol.
DB01310,Inject subcutaneuosly 15 minutes before meal
DB09392,Ethanol
DB05356,"Delayed release capsules should not be broken or crushed, but for those patients who cannot swallow the capsules, sprinkle the contents of the capsule onto soft acidic foods (pH of ≤4.5). Alkaline foods with a higher pH will promote early release of pancrelipase followed by enzyme inactivation in the stomach.   "
DB05356,"Multivitamins/minerals which have vitamins ADEK, folate, or iron: If pancrelipase is used in combination with multivitamins/minerals that have vitamins ADEK, folate, or iron then monitor therapy because pancrelipase may decrease absorption of iron in these multivitamin/mineral products."
DB05356,Take pancrelipase with meals and a sufficient amount of water.
BIOD00003,Avoid salt substitutes containing potassium.
BIOD00003,Avoid taking with grapefruit or grapefruit juice as grapefruit can significantly increase serum levels of this product.
BIOD00003,"Red wine may reduce cyclosporine levels due to increased metabolism, therefore it appears prudent  to avoid red wine (white wine does not appear to affect cyclosporine metabolism)."
BIOD00003,"When taken with a meal, AUC and Cmax of cyclosporine modified decreased."
DB05600,Avoid alcohol.
NUTR00038,Take with food.
APRD00328,Avoid alcohol.
APRD00328,Avoid drastic changes in dietary habit.
APRD00328,Take without regard to meals.
APRD00425,Avoid alcohol.
APRD00425,Avoid high doses of caffeine.
APRD00425,Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can significantly increase serum levels of this product.
APRD00425,Take without regard to meals.
APRD00009,Alcohol may increase the vasodilatory effects of ramipril. 
APRD00009,"Herbs that may attenuate the antihypertensive effect of ramipril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice.  "
APRD00009,High salt intake may attenuate the antihypertensive effect of ramipril. 
APRD00009,Ramipril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia. 
APRD00009,Take without regard to meals.
APRD00551,Avoid alcohol.
APRD00551,Take without regard to meals.
APRD00116,Avoid alcohol.
APRD00116,Avoid excessive quantities of coffee or tea (Caffeine).
APRD00116,Take with food.
DB07475,Citrus fruits - Patients should avoid taking extra vitamin C (ascorbic acid) supplements and vitamin C-containing multi-vitamins during their bortezomib therapy. Ascorbic Acid may diminish the therapeutic effect of Bortezomib.
DB07475,Green Tea - Green Tea may diminish the antineoplastic effect of Bortezomib. Avoid concurrent use of green tea extract and other green tea products during treatment with bortezomib. 
APRD00958,Avoid alcohol
APRD00958,Take with food to reduce irritation.
APRD00093,Limit caffeine intake.
APRD00093,Take without regard to meals.
APRD00028,"Oral administration of tramadol hydrochloride with food does not significantly affect its rate or extent of absorption, therefore, tramadol hydrochloride can be administered without regard to food."
APRD00327,Take without regard to meals.
APRD01148,Take without regard to meals. Food may improve gastric tolerance.
APRD00953,Avoid alcohol.
APRD00953,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00953,Take with a full glass of water Avoid taking with grapefruit juice.
APRD00599,Folic acid needs increased.
APRD00599,Take with food to reduce irritation.
APRD00472,"Magnesium, potassium and zinc needs increased."
APRD00472,Take with food to reduce irritation. Avoid alcohol.
APRD00397,Do not take Aluminum or magnesium antacids or supplements while on this medication.
APRD00397,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD01257,"High fat meals will increase ticlopidine absorption. As well, food can help ticlopidine-induced stomach upset."
APRD01116,Take without regard to meals.
APRD00073,Take without regard to meals.
APRD00147,Avoid alcohol.
APRD00147,Avoid St.John's Wort.
APRD00147,Take without regard to meals.
APRD00945,Exposure to the product (area below curve) and  maximum concentrations are increased when product is taken with a high-fat meal.
APRD00281,Take without regard to meals. Drink liberally. Absorption is not affected by lipid-rich meals or yogourt.
APRD00003,Food significantly increases absorption (2 to 3 times).
APRD00003,Take with food.
APRD00381,Avoid alcohol.
APRD00381,"Even though food reduces product absorption, the manufacturer recommends taking the product with the first meal of the day."
APRD00069,Avoid excessive or chronic alcohol use.
APRD00069,Avoid taking with grapefruit juice
APRD00069,Take on empty stomach: 1 hour before or 2 hours after meals.
APRD00069,Take with a full glass of water.
APRD00370,Avoid alcohol.
APRD00370,Avoid drastic changes in dietary habit.
APRD00370,Avoid taking with grapefruit juice.
APRD00370,"Take with food, 50% increase in bioavailability when taken with food."
APRD01198,Avoid alcohol (may increase CNS effects).
APRD01198,"When taken with food, Cmax decreases, while Tmax is prolonged. Despite these observations, the total absorption of pregabalin is not effected to a clinically relevant degree. Pregabalin can be taken with or without food. "
APRD00676,Avoid alcohol.
APRD00676,Avoid avocado.
APRD00676,Avoid excessive quantities of coffee or tea (Caffeine).
DB09367,Take without regard to meals.
DB08311,Avoid alcohol.
DB08311,Take without regard to meals.
APRD00260,"Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use. "
APRD01300,Grapefruit and grapefruit juice should be avoided throughout treatment.
APRD01300,Take without regard to meals.
DB06396,Take without regard to meals.
APRD00748,Avoid alcohol.
APRD00748,Take with food to reduce irritation.
APRD00540,Avoid alcohol.
APRD00463,Take with food to reduce irritation.
APRD00836,Absorption is not affected by food.
APRD00836,Take with food to improve tolerance.
APRD00345,Take without regard to meals.
APRD00241,Avoid alcohol.
APRD00241,"Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
APRD00241,Take with food to increase bioavailability and reduce irritation.
APRD00597,Avoid alcohol.
APRD00597,"Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
APRD00597,"Take with a full glass of water Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
EXPT01049,"Do not to take any indigestion remedies, iron or zinc supplements at the same time as this medicine."
APRD00798,"Food appears to reduce the area under the curve by 13.8%, without clinical consequence."
APRD00798,Take without regard to meals.
APRD00006,Echinacea
APRD00208,Avoid alcohol.
APRD00208,Avoid natural licorice.
APRD00208,Take with food.
APRD00237,"Following a single dose of the extended-release formulation with a high fat meal, Cmax of topiramate increased by 37% and shortened the Tmax to approximately 8 hours. AUC was not effected. According to the FDA label, Trokendi XR can be taken without regard to food."
APRD00223,Food does not affect the bioavailability of olmesartan.
DB09359,Avoid alcohol.
DB09359,Avoid excessive quantities of coffee or tea (Caffeine).
DB09359,Take with food.
APRD00105,"Herbs and food with anticoagulant/antiplatelet activity. Major interactions may occur with danshen, dong quai, evening primrose oil, gingko, policosanol, willow bark"
APRD00507,Avoid alcohol.
APRD00507,Take without regard to meals.
APRD00875,Avoid alcohol.
APRD00875,Take with food.
APRD00656,"Take with food, at beginning of each meal."
APRD00125,Avoid alcohol.
APRD00125,Avoid St.John's Wort.
APRD00125,Take with food.
APRD00614,"In the presence of food, the absorption rate is reduced, without the quantity absorbed being affected."
APRD00614,Take without regard to meals.
APRD00115,Drink liberally.
