drugbank-id,name
BIOD00024,approved
BIOD00071,approved
BIOD00001,approved
BIOD00084,investigational
BIOD00052,investigational
DB02351,investigational
BIOD00009,investigational
BIOD00043,investigational
BIOD00050,approved
BIOD00033,withdrawn
DB00084,investigational
BIOD00032,investigational
BIOD00030,withdrawn
BIOD00113,approved
BIOD00013,investigational
DB08923,approved
BIOD00025,investigational
BIOD00023,investigational
BIOD00094,approved
BIOD00035,investigational
BIOD00039,investigational
BIOD00048,approved
BIOD00011,investigational
BIOD00020,vet_approved
DBSALT002413,investigational
BIOD00060,approved
BIOD00036,approved
BIOD00091,investigational
BIOD00102,approved
DB08914,investigational
BIOD00019,approved
BIOD00018,approved
BIOD00017,investigational
DB00037,investigational
BIOD00061,approved
BIOD00006,approved
BIOD00021,investigational
BIOD00042,approved
BIOD00057,approved
BIOD00082,approved
BIOD00070,investigational
BIOD00081,investigational
BIOD00056,approved
BIOD00054,withdrawn
DB01310,approved
DB01308,approved
DB11249,investigational
BIOD00090,investigational
BIOD00115,investigational
BIOD00049,approved
DB06417,investigational
BIOD00026,approved
BIOD00041,approved
BIOD00068,withdrawn
BIOD00077,investigational
BIOD00108,withdrawn
BIOD00002,approved
BIOD00079,investigational
BIOD00093,investigational
BIOD00100,approved
DB00064,approved
BIOD00063,investigational
BIOD00004,approved
DB09024,approved
DB09392,approved
BIOD00078,approved
BIOD00062,investigational
BIOD00022,investigational
BIOD00031,approved
BIOD00098,investigational
BIOD00014,approved
BIOD00073,investigational
BIOD00005,investigational
BIOD00027,approved
BIOD00069,investigational
BIOD00111,investigational
DB09557,investigational
BIOD00044,approved
BIOD00092,investigational
DB05356,investigational
BIOD00028,investigational
BIOD00109,investigational
BIOD00037,investigational
BIOD00080,approved
BIOD00008,approved
BIOD00003,vet_approved
BIOD00055,withdrawn
BIOD00114,approved
BIOD00104,vet_approved
BIOD00074,investigational
BIOD00034,approved
BIOD00040,approved
DB09560,approved
BIOD00038,investigational
BIOD00053,investigational
BIOD00075,investigational
BIOD00088,investigational
DB05600,approved
BIOD00051,withdrawn
BIOD00016,vet_approved
BIOD00083,investigational
BIOD00106,investigational
BIOD00097,investigational
BIOD00007,withdrawn
BIOD00087,investigational
BIOD00107,investigational
NUTR00045,nutraceutical
EXPT00965,nutraceutical
NUTR00056,nutraceutical
NUTR00030,nutraceutical
NUTR00052,nutraceutical
DB11194,nutraceutical
NUTR00044,nutraceutical
NUTR00019,nutraceutical
NUTR00020,nutraceutical
DB11101,nutraceutical
NUTR00014,nutraceutical
DB11317,nutraceutical
DB02564,nutraceutical
EXPT01823,nutraceutical
NUTR00043,nutraceutical
NUTR00026,nutraceutical
EXPT00512,nutraceutical
NUTR00034,nutraceutical
DB03375,nutraceutical
NUTR00038,nutraceutical
NUTR00059,nutraceutical
DB05314,nutraceutical
DB11138,nutraceutical
NUTR00023,nutraceutical
NUTR00054,nutraceutical
DB09358,vet_approved
NUTR00040,nutraceutical
NUTR00027,nutraceutical
EXPT01650,nutraceutical
NUTR00048,nutraceutical
NUTR00028,vet_approved
APRD00428,nutraceutical
NUTR00049,nutraceutical
NUTR00022,nutraceutical
NUTR00033,nutraceutical
EXPT02064,withdrawn
DB09485,nutraceutical
EXPT03222,vet_approved
APRD00426,nutraceutical
NUTR00032,nutraceutical
NUTR00021,nutraceutical
NUTR00057,nutraceutical
DB03527,nutraceutical
NUTR00025,vet_approved
NUTR00024,nutraceutical
NUTR00013,nutraceutical
NUTR00060,nutraceutical
APRD00486,vet_approved
EXPT03227,vet_approved
APRD00204,vet_approved
NUTR00035,nutraceutical
NUTR00031,nutraceutical
NUTR00046,nutraceutical
APRD00506,nutraceutical
NUTR00062,nutraceutical
EXPT00007,nutraceutical
NUTR00047,nutraceutical
EXPT00520,nutraceutical
NUTR00015,nutraceutical
APRD00328,approved
APRD00425,investigational
APRD00133,investigational
APRD00009,approved
DB05900,investigational
APRD00976,investigational
APRD00551,approved
APRD00480,investigational
APRD01172,approved
