drugbank-id,ingredients,name
BIOD00024,Lepirudin,Refludan
BIOD00071,Cetuximab,Erbitux
BIOD00001,Dornase alfa,Pulmozyme
BIOD00084,Denileukin diftitox,Ontak
BIOD00052,Etanercept,Erelzi
DB02351,Bivalirudin,Bivalirudin
BIOD00009,Leuprolide,Lupron
BIOD00043,Peginterferon alfa-2a,Pegasys
BIOD00050,Alteplase,Cathflo
DB00084,Interferon alfa-n1,Wellferon Inj 3000000unit/ml
BIOD00032,Darbepoetin alfa,Aranesp -(hsa-free)
BIOD00030,Urokinase,Kinlytic (urokinase for Injection)
BIOD00113,Goserelin,Zoladex LA
BIOD00013,Reteplase,Retavase
DB08923,Erythropoietin,Retacrit
BIOD00025,Salmon Calcitonin,Calcitonin Salmon
BIOD00023,Interferon alfa-n3,Alferon
BIOD00094,Pegfilgrastim,Fulphila
BIOD00035,Sargramostim,Leukine
BIOD00039,Secretin,Secretin Inj 75unit/vial
BIOD00048,Peginterferon alfa-2b + Ribavirin,Pegetron
BIOD00011,Asparaginase Escherichia coli,Kidrolase
BIOD00020,Thyrotropin Alfa,Thyrogen
DBSALT002413,"Antihemophilic factor, human recombinant",Helixate FS
BIOD00060,Anakinra,Kineret
BIOD00036,Dexamethasone + Framycetin + Gramicidin D,Sofracort Ear/eye Ointment
BIOD00091,Immune Globulin Human,GamaSTAN
BIOD00102,Anistreplase,Eminase 30 Units
DB08914,Insulin Human,Afrezza
BIOD00019,Tenecteplase,Metalyse
BIOD00018,Menotropins,Menopur
BIOD00017,Interferon gamma-1b,Actimmune
DB00037,"Interferon Alfa-2a, Recombinant",Roferon-A Solution 18 Million I.U./3ml
BIOD00061,Desmopressin,Nocdurna
BIOD00006,Coagulation factor VIIa Recombinant Human,Niastase RT
BIOD00021,Oprelvekin,Neumega
BIOD00042,Palifermin,Kepivance
BIOD00057,Glucagon recombinant,GlucaGen
BIOD00082,Aldesleukin,Proleukin
BIOD00070,Botulinum Toxin Type B,Myobloc
BIOD00081,Omalizumab,Xolair
BIOD00056,Follitropin + Lutropin alfa,Pergoveris
DB01310,Insulin Lispro,Humalog Mix75/25
DB01308,Insulin Glargine,TOUJEO Max
DB11249,Collagenase clostridium histolyticum,Xiaflex
BIOD00090,Rasburicase,Elitek
BIOD00115,Cetrorelix,Cetrotide
BIOD00049,Adalimumab,Humira
DB06417,Somatotropin,Zomacton
BIOD00026,Imiglucerase,Cerezyme
BIOD00041,Abciximab,Reopro
BIOD00068,Drotrecogin alfa,Xigris
BIOD00077,Gemtuzumab ozogamicin,Mylotarg
BIOD00002,Alpha-1-proteinase inhibitor,Zemaira
BIOD00079,Pegaspargase,Oncaspar
BIOD00093,Interferon beta-1a,Avonex
BIOD00100,Pegademase bovine,Adagen
DB00064,Human Serum Albumin,Albuked
BIOD00063,Eptifibatide,Eptifibatide
BIOD00004,Infliximab,Renflexis
DB09024,Follitropin,Rekovelle
DB09392,Vasopressin,Vasostrict
BIOD00078,Interferon beta-1b,Extavia
BIOD00062,Interferon alfacon-1,Infergen
BIOD00022,Hyaluronidase,Hydase
BIOD00031,Insulin Pork,Hypurin Nph Insulin Isophane Pork
BIOD00098,Trastuzumab,Herceptin
BIOD00014,Rituximab,Rituxan Sc
BIOD00073,Basiliximab,Simulect
BIOD00005,Muromonab,Orthoclone Okt 3 Sterile Solution  IV 1mg/ml
BIOD00027,Digoxin Immune Fab (Ovine),DigiFab
BIOD00069,Ibritumomab tiuxetan,Zevalin
BIOD00111,Daptomycin,Daptomycin
DB09557,Tositumomab,Bexxar Therapy
BIOD00044,Pegvisomant,Somavert
BIOD00092,Botulinum Toxin Type A,Protoxin
DB05356,Bromelains + Glycine betaine + Ox bile extract + Pancrelipase + Papaya,Alka-pan Tablets
BIOD00028,Streptokinase,Streptase Inj 250000unit/vial
BIOD00109,Alemtuzumab,Lemtrada
BIOD00080,Capromab pendetide,ProstaScint Kit for the Preparation of Indium In 111 Capromab Pendetide
BIOD00008,Laronidase,Aldurazyme
BIOD00003,Cyclosporine,Cyclosporine/Chondroitin PF
BIOD00055,Alefacept,Amevive
