drugbank-id,organism
BIOD00024,Humans and other mammals
BIOD00071,Humans and other mammals
BIOD00001,Humans and other mammals
BIOD00084,Humans and other mammals
BIOD00052,Humans and other mammals
DB02351,Humans and other mammals
BIOD00009,Humans and other mammals
BIOD00043,Humans and other mammals
BIOD00050,Humans and other mammals
BIOD00033,Humans and other mammals
DB00084,Humans and other mammals
BIOD00032,Humans and other mammals
BIOD00030,Humans and other mammals
BIOD00113,Humans and other mammals
BIOD00013,Humans and other mammals
DB08923,Humans and other mammals
BIOD00025,Humans and other mammals
BIOD00023,Humans and other mammals
BIOD00094,Humans and other mammals
BIOD00035,Humans and other mammals
BIOD00039,Humans and other mammals
BIOD00048,Humans and other mammals
BIOD00011,Humans and other mammals
BIOD00020,Humans and other mammals
DBSALT002413,Humans and other mammals
BIOD00060,Humans and other mammals
BIOD00036,Enterobacter
BIOD00091,Various viruses
BIOD00102,Humans and other mammals
DB08914,Humans and other mammals
BIOD00019,Humans and other mammals
BIOD00018,Humans and other mammals
DB00037,Humans and other mammals
BIOD00061,Humans and other mammals
BIOD00006,Humans and other mammals
BIOD00021,Humans and other mammals
BIOD00042,Humans and other mammals
BIOD00057,Humans and other mammals
BIOD00082,Humans and other mammals
BIOD00070,Humans and other mammals
BIOD00081,Humans and other mammals
BIOD00056,Humans and other mammals
BIOD00054,Humans and other mammals
DB01310,Humans and other mammals
DB01308,Humans and other mammals
DB11249,Humans and other mammals
BIOD00090,Humans and other mammals
BIOD00115,Humans and other mammals
BIOD00049,Humans and other mammals
DB06417,Humans and other mammals
BIOD00026,Humans and other mammals
BIOD00041,Humans and other mammals
BIOD00068,Humans and other mammals
BIOD00077,Humans and other mammals
BIOD00108,Humans and other mammals
BIOD00002,Humans and other mammals
BIOD00079,Humans and other mammals
BIOD00100,Humans and other mammals
DB00064,Humans and other mammals
BIOD00063,Humans and other mammals
BIOD00004,Humans and other mammals
DB09024,Humans and other mammals
DB09392,Humans and other mammals
BIOD00078,Humans and other mammals
BIOD00062,Humans and other mammals
BIOD00022,Humans and other mammals
BIOD00031,Humans and other mammals
BIOD00098,Humans and other mammals
BIOD00014,Humans and other mammals
BIOD00073,Humans and other mammals
BIOD00005,Humans and other mammals
BIOD00027,Humans and other mammals
BIOD00069,Humans and other mammals
BIOD00111,Enteric bacteria and other eubacteria
DB09557,Humans and other mammals
BIOD00044,Humans and other mammals
BIOD00092,Humans and other mammals
DB05356,Humans and other mammals
BIOD00028,Humans and other mammals
BIOD00037,Humans and other mammals
BIOD00080,Humans and other mammals
BIOD00008,Humans and other mammals
BIOD00003,Humans and other mammals
BIOD00055,Humans and other mammals
BIOD00114,Humans and other mammals
BIOD00104,Humans and other mammals
BIOD00074,Humans and other mammals
BIOD00034,Humans and other mammals
BIOD00040,Humans and other mammals
DB09560,Humans and other mammals
BIOD00038,Humans and other mammals
BIOD00053,Humans and other mammals
BIOD00075,Humans and other mammals
BIOD00088,Humans and other mammals
DB05600,Humans and other mammals
BIOD00051,Humans and other mammals
BIOD00016,Humans and other mammals
BIOD00083,Humans and other mammals
BIOD00106,Human Immunodeficiency Virus
BIOD00007,Humans and other mammals
BIOD00087,Humans and other mammals
BIOD00107,Humans and other mammals
NUTR00045,Humans and other mammals
EXPT00965,Humans and other mammals
NUTR00056,Humans and other mammals
NUTR00030,Humans and other mammals
NUTR00052,Humans and other mammals
DB11194,Humans and other mammals
NUTR00044,Humans and other mammals
NUTR00019,Humans and other mammals
NUTR00020,Humans and other mammals
DB11101,Humans and other mammals
NUTR00014,Humans and other mammals
DB11317,Humans and other mammals
DB02564,Humans and other mammals
EXPT01823,Humans and other mammals
NUTR00043,Humans and other mammals
NUTR00026,Humans and other mammals
EXPT00512,Humans and other mammals
NUTR00034,Humans and other mammals
DB03375,Humans and other mammals
NUTR00038,Humans and other mammals
NUTR00059,Humans and other mammals
DB05314,Humans and other mammals
DB11138,Humans and other mammals
NUTR00023,Humans and other mammals
NUTR00054,Humans and other mammals
DB09358,Humans and other mammals
NUTR00040,Humans and other mammals
NUTR00027,Humans and other mammals
EXPT01650,Humans and other mammals
NUTR00048,Humans and other mammals
NUTR00028,Humans and other mammals
APRD00428,Humans and other mammals
NUTR00049,Humans and other mammals
NUTR00022,Humans and other mammals
NUTR00033,Humans and other mammals
EXPT02064,Humans and other mammals
DB09485,Humans and other mammals
EXPT03222,Humans and other mammals
APRD00426,Humans and other mammals
NUTR00032,Humans and other mammals
NUTR00021,Humans and other mammals
NUTR00057,Humans and other mammals
DB03527,Humans and other mammals
NUTR00025,Humans and other mammals
NUTR00024,Humans and other mammals
NUTR00013,Humans and other mammals
NUTR00060,Humans and other mammals
APRD00486,Humans and other mammals
EXPT03227,Humans and other mammals
APRD00204,Humans and other mammals
NUTR00035,Humans and other mammals
NUTR00031,Humans and other mammals
NUTR00046,Humans and other mammals
APRD00506,Humans and other mammals
NUTR00062,Humans and other mammals
EXPT00007,Humans and other mammals
NUTR00047,Humans and other mammals
EXPT00520,Humans and other mammals
NUTR00015,Humans and other mammals
APRD00328,Humans and other mammals
APRD00425,Humans and other mammals
APRD00133,Humans and other mammals
APRD00009,Humans and other mammals
DB05900,Humans and other mammals
APRD00976,Humans and other mammals
APRD00551,Humans and other mammals
APRD00480,Humans and other mammals
APRD01172,Humans and other mammals
DB11303,Humans and other mammals
APRD00224,Humans and other mammals
APRD00116,Humans and other mammals
APRD00954,Humans and other mammals
DB07475,Humans and other mammals
APRD00958,Humans and other mammals
APRD00160,Humans and other mammals
APRD00093,Humans and other mammals
APRD01032,Humans and other mammals
APRD00028,Humans and other mammals
EXPT02753,Human Herpes Virus
APRD00245,Humans and other mammals
APRD00327,Fungi
APRD00488,Humans and other mammals
APRD01148,Influenza Virus
APRD00953,Staphylococcus aureus
APRD01022,Humans and other mammals
APRD00673,Humans and other mammals
APRD00159,Humans and other mammals
APRD00556,Humans and other mammals
APRD00367,Humans and other mammals
APRD00599,Plasmodium
APRD00472,Humans and other mammals
APRD00397, Bordetella pertussis
APRD01257,Humans and other mammals
APRD00393,Humans and other mammals
APRD00780,Humans and other mammals
APRD01116,Humans and other mammals
APRD00163,Humans and other mammals
APRD00073,Humans and other mammals
APRD00217,Humans and other mammals
APRD00147,Humans and other mammals
APRD00945,Humans and other mammals
APRD00825,Humans and other mammals
APRD00281,Enteric bacteria and other eubacteria
APRD00189,Humans and other mammals
APRD00003,Human Immunodeficiency Virus
APRD00750,Humans and other mammals
APRD00381,Humans and other mammals
APRD00921,Humans and other mammals
APRD00069,Human Immunodeficiency Virus
APRD00990,Humans and other mammals
APRD01006,Humans and other mammals
APRD00370,Humans and other mammals
APRD00234,Humans and other mammals
APRD00855,Enteric bacteria and other eubacteria
APRD01198,Humans and other mammals
APRD00676,Humans and other mammals
APRD01104,Humans and other mammals
DB09367,Mycobacteria
APRD00198,Humans and other mammals
APRD00010,Humans and other mammals
APRD00693,Humans and other mammals
APRD00752,Humans and other mammals
DB08311,Human Immunodeficiency Virus
APRD01154,Fungi
APRD00783,Humans and other mammals
APRD00266,Humans and other mammals
APRD00260,Humans and other mammals
APRD01300,Humans and other mammals
DB06396,Humans and other mammals
APRD00748,Humans and other mammals
APRD00540,Humans and other mammals
APRD00463,Humans and other mammals
APRD00836,Humans and other mammals
DB03778,Herpes simplex virus
APRD00345,Mycobacterium leprae
APRD00659,Fungi
APRD00241,Humans and other mammals
APRD01091,Humans and other mammals
APRD00597, Chlamydia psittaci
EXPT01164,Humans and other mammals
EXPT01049,Enteric bacteria and other eubacteria
APRD00244,Yeast and other fungi
APRD00839,Humans and other mammals
APRD00438,Candida albicans and other yeasts
DB03123,Mycobacterium tuberculosis
APRD00798,Humans and other mammals
APRD00006,Humans and other mammals
APRD00595,Enteric bacteria and other eubacteria
APRD00208,Humans and other mammals
APRD00211,Humans and other mammals
APRD00761,Humans and other mammals
APRD00851,Enteric bacteria and other eubacteria
APRD00302,Humans and other mammals
APRD00715,Humans and other mammals
APRD00298,Humans and other mammals
APRD00913,Humans and other mammals
APRD00714,Humans and other mammals
APRD00237,Humans and other mammals
APRD00852,Enteric bacteria and other eubacteria
APRD00223,Humans and other mammals
APRD00064,Humans and other mammals
DB09359,Humans and other mammals
APRD00105,Humans and other mammals
APRD01074,Humans and other mammals
APRD00507,Humans and other mammals
DB05291,Humans and other mammals
APRD01161,Humans and other mammals
APRD00875,Humans and other mammals
APRD00656,Humans and other mammals
APRD00125,Humans and other mammals
APRD00396,Humans and other mammals
APRD01271,Humans and other mammals
APRD00788,Humans and other mammals
APRD00614,Humans and other mammals
EXPT00718,Humans and other mammals
APRD00115,Humans and other mammals
APRD00965,Humans and other mammals
EXPT01092,Humans and other mammals
APRD00766,Humans and other mammals
DB05354,Humans and other mammals
APRD00492,Humans and other mammals
APRD00247,Humans and other mammals
APRD00902,Humans and other mammals
DB01730,Herpes simplex virus
DB13426,Human Immunodeficiency Virus
APRD00609,Enteric bacteria and other eubacteria
EXPT00508,Humans and other mammals
APRD00952,Enteric bacteria and other eubacteria
APRD00762,Humans and other mammals
APRD00284,Humans and other mammals
APRD01333,Humans and other mammals
APRD00114,Humans and other mammals
APRD01025,Humans and other mammals
APRD00392,Humans and other mammals
APRD00127,Humans and other mammals
DB07727,Humans and other mammals
APRD01174,Humans and other mammals
APRD00066,Humans and other mammals
APRD00844,Enteric bacteria and other eubacteria
APRD00376,Humans and other mammals
APRD00252,Humans and other mammals
DB07998,Humans and other mammals
DB09471,Humans and other mammals
APRD00325,Enteric bacteria and other eubacteria
DB05743,Humans and other mammals
APRD00227,Humans and other mammals
APRD00692,Humans and other mammals
APRD00445,Humans and other mammals
APRD00980,Humans and other mammals
APRD01143,Humans and other mammals
APRD00841,Humans and other mammals
APRD01021,Humans and other mammals
APRD00109,Humans and other mammals
APRD00957,Mycobacterium tuberculosis
APRD01099,Humans and other mammals
APRD00537,Humans and other mammals
APRD00485,Humans and other mammals
APRD00138,Humans and other mammals
APRD00172,Humans and other mammals
APRD00050,Gram negative and gram positive bacteria
APRD01182,Humans and other mammals
APRD00446,Humans and other mammals
APRD01206,Mycobacterium tuberculosis
APRD01101,Humans and other mammals
APRD00630,Humans and other mammals
APRD00606,Humans and other mammals
APRD00473,Humans and other mammals
APRD00441,Humans and other mammals
APRD00792,Humans and other mammals
APRD00490,Humans and other mammals
APRD00315,Humans and other mammals
APRD01141,Humans and other mammals
APRD00307,Humans and other mammals
DB08225,Humans and other mammals
APRD01092,Humans and other mammals
APRD00290,Humans and other mammals
APRD00739,Humans and other mammals
APRD00723,Humans and other mammals
EXPT00605,Enteric bacteria and other eubacteria
APRD00308,Humans and other mammals
APRD00592,Humans and other mammals
APRD00300,Plasmodium
APRD00190,Enteric bacteria and other eubacteria
DB02692,Humans and other mammals
APRD00101,Humans and other mammals
APRD01301,Coolia tropicalis
APRD00470,Humans and other mammals
APRD01238,Humans and other mammals
APRD01003,Streptococcus pneumoniae
APRD00937,Humans and other mammals
APRD00106,Humans and other mammals
APRD01299,Humans and other mammals
APRD00148,Human Immunodeficiency Virus
APRD00685,Humans and other mammals
APRD01095,Humans and other mammals
APRD00323,Humans and other mammals
DB08625,Humans and other mammals
APRD01272,Humans and other mammals
APRD00884,Humans and other mammals
APRD00070,Humans and other mammals
APRD00351,Humans and other mammals
APRD00941,Humans and other mammals
APRD00242,Humans and other mammals
DB02444,Humans and other mammals
APRD00520,Humans and other mammals
APRD00690,Humans and other mammals
APRD00399,Humans and other mammals
APRD00079,Humans and other mammals
APRD00662,Humans and other mammals
APRD00383,Humans and other mammals
APRD00365,Humans and other mammals
APRD00503,Humans and other mammals
APRD00098,Humans and other mammals
APRD00032,Humans and other mammals
APRD00729,Humans and other mammals
APRD00612,Humans and other mammals
DB11897,Humans and other mammals
APRD00417,Humans and other mammals
APRD00700,Humans and other mammals
DB09441,Humans and other mammals
DB07438,Humans and other mammals
DB06286,Humans and other mammals
APRD01004,"Dermatophytic fungi including Trichophyton, Microsporum and Epidermophyton"
APRD00635,Humans and other mammals
APRD00431,Humans and other mammals
APRD00861,Humans and other mammals
DB05925,Humans and other mammals
APRD00770,Humans and other mammals
APRD00998,Bacteria and protozoa
APRD00803,Humans and other mammals
APRD00574,Humans and other mammals
APRD00316,Humans and other mammals
APRD00162,Staphylococcus aureus
DB02487,Humans and other mammals
APRD00403,Humans and other mammals
APRD00156,Humans and other mammals
APRD00773,Humans and other mammals
APRD00320,Haemophilus influenzae
APRD01318,Humans and other mammals
DB08415,Borrelia burgdorferi
APRD00497,Humans and other mammals
APRD01118,Humans and other mammals
APRD00358,Humans and other mammals
APRD01234,Humans and other mammals
APRD00657,Humans and other mammals
APRD01102,Humans and other mammals
APRD00607,Humans and other mammals
APRD00095,Humans and other mammals
APRD00600,Human Herpes Virus
APRD00306,Humans and other mammals
APRD00209,Humans and other mammals
APRD00847,Humans and other mammals
APRD00856,Enteric bacteria and other eubacteria
APRD01072,Scabies (Sarcoptes scabei) and other insects
APRD01275,Human Herpes Virus
APRD00624,Humans and other mammals
APRD00033,Humans and other mammals
APRD01142,Humans and other mammals
APRD00666,Humans and other mammals
DB03027,Humans and other mammals
APRD00857,Enteric bacteria and other eubacteria
APRD00102,Humans and other mammals
APRD00103,Escherichia coli
APRD00201,Humans and other mammals
APRD00948,Hepatitis B virus
APRD00513,Humans and other mammals
APRD00649,Humans and other mammals
APRD00361,Humans and other mammals
EXPT00942,Enterococcus faecium
APRD01077,Staphylococcus aureus
APRD00077,Humans and other mammals
APRD00930,Humans and other mammals
APRD00939,Humans and other mammals
EXPT02993,Humans and other mammals
APRD00618,Enteric bacteria and other eubacteria
APRD00343,Enteric bacteria and other eubacteria
APRD00074,Humans and other mammals
APRD00384,Humans and other mammals
EXPT00946,Enteric bacteria and other eubacteria
APRD00020,Humans and other mammals
DB08002,Humans and other mammals
APRD00778,Humans and other mammals
APRD01290,Humans and other mammals
APRD01128,Humans and other mammals
APRD00314,Humans and other mammals
APRD00757,Humans and other mammals
APRD00575,Humans and other mammals
APRD01060,Humans and other mammals
APRD00269,Humans and other mammals
APRD00947,Enteric bacteria and other eubacteria
APRD00563,Humans and other mammals
APRD00011,Humans and other mammals
APRD00571,Humans and other mammals
APRD00434,Humans and other mammals
APRD00530,Humans and other mammals
APRD01014,Humans and other mammals
APRD00058,Humans and other mammals
APRD00682,Humans and other mammals
APRD00060,Humans and other mammals
APRD00482,Humans and other mammals
APRD01219,Human Influenza A Virus
APRD00550,Enteric bacteria and other eubacteria
APRD01303,Humans and other mammals
APRD00400,Humans and other mammals
APRD00373,Humans and other mammals
APRD00712,Humans and other mammals
APRD00034,Humans and other mammals
APRD00916,Enteric bacteria and other eubacteria
APRD01127,Humans and other mammals
APRD00108,Enteric bacteria and other eubacteria
APRD00652,Humans and other mammals
APRD01230,Humans and other mammals
APRD00222,Humans and other mammals
APRD01117,Humans and other mammals
APRD00526,Humans and other mammals
APRD00854,Salmonella typhi
APRD00416,Humans and other mammals
APRD00449,Human Immunodeficiency Virus
APRD00903,Humans and other mammals
APRD00387,Humans and other mammals
APRD00166,Humans and other mammals
APRD00984,Humans and other mammals
APRD01268,Humans and other mammals
APRD00568,Humans and other mammals
APRD00538,Humans and other mammals
APRD00312,Human Immunodeficiency Virus
APRD00733,Humans and other mammals
APRD00286,Humans and other mammals
APRD00558,Escherichia coli
APRD00465,Humans and other mammals
APRD00911,Humans and other mammals
APRD01334,Humans and other mammals
EXPT03217, Chlamydia psittaci
DB04134,Humans and other mammals
APRD00655,Humans and other mammals
APRD00359,Humans and other mammals
APRD00819,Humans and other mammals
APRD00800,Humans and other mammals
APRD00782,Helminthic Microorganisms
APRD01269,Humans and other mammals
APRD00199,"Aspergillis, Candida and other fungi"
APRD00195,Humans and other mammals
APRD00818,Humans and other mammals
APRD00017,Humans and other mammals
APRD01109,Humans and other mammals
APRD01607,Yeast and other fungi
APRD00186,Humans and other mammals
APRD00915,Humans and other mammals
APRD00193,Humans and other mammals
APRD00669,Human Herpes Virus
APRD00951,Humans and other mammals
APRD00408,Humans and other mammals
APRD00512,Humans and other mammals
APRD00151,Humans and other mammals
APRD00864,Humans and other mammals
APRD00644,Enteric gram-negative rods
EXPT01546,Humans and other mammals
EXPT00999,Enteric bacteria and other eubacteria
APRD00993,Humans and other mammals
APRD00391,Humans and other mammals
APRD00602,Humans and other mammals
APRD00495,Humans and other mammals
APRD00063,Humans and other mammals
APRD00142,Humans and other mammals
EXPT03204,Humans and other mammals
APRD00380,Humans and other mammals
APRD00724,Humans and other mammals
APRD00910,Humans and other mammals
EXPT00598,Various aerobic and anaerobic microorganisms
APRD00377,Humans and other mammals
APRD00297,Humans and other mammals
EXPT01688,Enteric bacteria and other eubacteria
APRD00202,Shigella
APRD00157,Humans and other mammals
APRD01187,Humans and other mammals
APRD00570,Humans and other mammals
APRD01177,Humans and other mammals
APRD00688,Humans and other mammals
APRD00378,Influenza B virus
APRD00829,Humans and other mammals
APRD01307,Enteric bacteria and other eubacteria
APRD00935,Humans and other mammals
APRD00728,Humans and other mammals
APRD00353,Humans and other mammals
APRD00337,Humans and other mammals
APRD00874,Humans and other mammals
APRD01236,Humans and other mammals
APRD00250,Enteric bacteria and other eubacteria
APRD00332,Humans and other mammals
DB11728,Humans and other mammals
APRD00708,Humans and other mammals
APRD00194,Humans and other mammals
EXPT02427,Humans and other mammals
APRD00970,Humans and other mammals
APRD00319,Humans and other mammals
DB07566,Humans and other mammals
APRD00684,Enteric bacteria and other eubacteria
APRD00697,Human Herpes Virus
APRD00846,Proteus mirabilis
APRD01085,Humans and other mammals
DB07576,Humans and other mammals
APRD01063,Humans and other mammals
APRD00543,Yeast and other fungi
APRD01070,Humans and other mammals
APRD00510,Humans and other mammals
APRD00706,Humans and other mammals
APRD00527,Humans and other mammals
APRD00637,Humans and other mammals
APRD00065,Humans and other mammals
APRD00636,Humans and other mammals
APRD00474,Humans and other mammals
APRD00977,Humans and other mammals
DB11514,Parasitic nematodes and other roundworms
APRD00318,Humans and other mammals
EXPT00514,Humans and other mammals
APRD00019,Enteric bacteria and other eubacteria
APRD01010,Humans and other mammals
APRD00992,Humans and other mammals
APRD01062,Humans and other mammals
APRD00660,Humans and other mammals
APRD01121,Humans and other mammals
DB08769,Gram negative and gram positive bacteria
APRD01058,Head lice
APRD00627,Humans and other mammals
APRD00454,Humans and other mammals
APRD01243,Humans and other mammals
EXPT01082,Humans and other mammals
DB08269,Staphylococcus aureus
APRD00468,Plasmodium
APRD00961,Mycobacteria
APRD00555,Humans and other mammals
APRD00835,Humans and other mammals
APRD00257,Humans and other mammals
APRD00796,Plasmodium
APRD00988,"Microbes (bacteria, parasites)"
APRD00094,Mycobacterium avium
APRD00027,Humans and other mammals
APRD00236,Humans and other mammals
APRD00272,Enteric bacteria and other eubacteria
DB03261,Humans and other mammals
APRD00422,Humans and other mammals
APRD01151,Humans and other mammals
APRD00088,Humans and other mammals
APRD00633,Humans and other mammals
DB05275,Humans and other mammals
DB07709,Human Immunodeficiency Virus
APRD00816,Enteric bacteria and other eubacteria
APRD00536,Humans and other mammals
APRD00881,Humans and other mammals
APRD00487,Humans and other mammals
APRD00561,Humans and other mammals
DB06189,Humans and other mammals
APRD00933,Herpes simplex virus
APRD00578,Humans and other mammals
APRD00452,Enteric bacteria and other eubacteria
APRD00340,Humans and other mammals
APRD00879,Humans and other mammals
APRD00585,Humans and other mammals
APRD01034,Humans and other mammals
APRD00834,"Fungi, yeast and protozoans"
DB06639,Humans and other mammals
APRD00104,Humans and other mammals
EXPT02075,Humans and other mammals
APRD01086,Helminthic Microorganisms
APRD01001,Humans and other mammals
APRD00940,Humans and other mammals
APRD01146,Fungi
APRD00548,Humans and other mammals
APRD00494,Humans and other mammals
APRD00440,Human Immunodeficiency Virus
APRD00698,Humans and other mammals
APRD00769,Humans and other mammals
APRD01173,Humans and other mammals
APRD01080,Humans and other mammals
APRD01065,Humans and other mammals
APRD00588,Humans and other mammals
APRD00533,Humans and other mammals
APRD00458,Humans and other mammals
APRD01226,Humans and other mammals
APRD00661,Humans and other mammals
APRD00514,Humans and other mammals
APRD00335,Humans and other mammals
APRD01277,Humans and other mammals
APRD00975,Humans and other mammals
APRD00517,"Gram negative, positive bacteria and plasmodium"
APRD00150,Humans and other mammals
APRD01129,Humans and other mammals
EXPT00496,Humans and other mammals
APRD00379,Humans and other mammals
APRD00515,Humans and other mammals
APRD00583,Enteric bacteria and other eubacteria
APRD00029,Humans and other mammals
APRD00100,Humans and other mammals
EXPT01628,Humans and other mammals
APRD00123,Humans and other mammals
DB02775,Sarcoptes scabiei
APRD00763,Humans and other mammals
APRD00052,Humans and other mammals
APRD00596,Humans and other mammals
APRD01124,Humans and other mammals
APRD00797,Various Fungus Species
APRD00341,Humans and other mammals
APRD00680,Humans and other mammals
APRD00582,Enteric bacteria and other eubacteria
APRD01281,Enteric bacteria and other eubacteria
APRD01175,Humans and other mammals
DB02478,Humans and other mammals
APRD01602,Humans and other mammals
APRD00858,Enteric bacteria and other eubacteria
APRD00983,Humans and other mammals
APRD01120,Humans and other mammals
APRD00615,Humans and other mammals
DB07777,Humans and other mammals
APRD00521,Humans and other mammals
DB07799,Humans and other mammals
APRD00677,Humans and other mammals
APRD00128,Humans and other mammals
APRD00191,Gram negative and gram positive bacteria
APRD00617,Humans and other mammals
APRD00707,Humans and other mammals
APRD00605,Human Immunodeficiency Virus
APRD01026,Humans and other mammals
