name,url
Berlex Labs,www.berlex.com
Oso Biopharmaceuticals Manufacturing LLC,
Medpointe Pharmaceuticals,
Ligand Pharmaceuticals Inc.,www.ligand.com
Vetter Pharma Fertigung GmbH and Co. KG,www.vetter-pharma.com
The Medicines Co.,www.themedicinescompany.com
Tolmar Inc.,www.tolmar.com
F Hoffmann-La Roche Ltd.,www.roche.com
Genentech Inc.,www.gene.com
Live Well Drugstore LLC,www.livewelldrugstore.com
Physicians Total Care Inc.,www.physicianstotalcare.com
Microbix Biosystems Inc.,www.microbix.com
AstraZeneca Inc.,www.astrazeneca.ca
PDL BioPharma Inc.,www.pdl.com
Upsher Smith Laboratories,www.upsher-smith.com
Hemispherx Biopharma Inc.,www.hemispherx.net
Wyeth Pharmaceuticals,www.wyeth.com
Professional Co.,
Prescript Pharmaceuticals,www.prescript.net
Organon Pharmaceuticals,www.organonshop.com
BioVitrum AB,www.biovitrum.com
Talecris Biotherapeutics,www.talecris.com
Haupt Pharma,haupt-pharma.de
Ferring Pharmaceuticals Inc.,www.ferring.com
InterMune Inc.,www.intermune.com
Watson Pharmaceuticals,www.watson.com
Novo Nordisk Inc.,www.novonordisk.com
Prometheus Laboratories Inc.,www.prometheuslabs.com
Solstice Neurosciences,www.solsticeneuro.com
Novartis AG,www.novartis.com
Merck Serono SPA,www.merckserono.net
Sanofi-Aventis Inc.,www.sanofi-aventis.com
Medisca Inc.,www.medisca.com
Solvay Pharmaceuticals,global.abbottgrowth.com
Wasserburger Arzneimittelwerk GmbH,
Genzyme Inc.,www.genzyme.ca
JHP Pharmaceuticals LLC,www.jhppharma.com
Eli Lilly & Co.,www.lilly.com
EUSA Pharma Inc.,www.eusapharma.com
Enzon Inc.,www.enzon.com
Teva Pharmaceutical Industries Ltd.,www.tevapharm.com
Hospira Inc.,www.hospira.com
PD-Rx Pharmaceuticals Inc.,www.pdrx.com
Valeant Ltd.,www.valeant.com
Centocor Ortho Biotech Inc.,www.centocororthobiotech.com
Savage Labs,www.savagelabs.com
Spectrum Pharmaceuticals,www.spectrumpharm.com
Sepracor Pharmaceuticals Inc.,www.sepracor.com
MDS Nordion,www.mds.nordion.com
Pharmacia Inc.,www.pharmaciaupjohn.com
Tercica Inc.,www.tercica.com
Yung Shin Pharmaceutical Industry Ltd.,www.ysp.com.cn
Pfizer Inc.,www.pfizer.com
ILEX Pharmaceuticals LP,
Hollister-Stier Laboratories LLC,www.hollisterstier.com
Wockhardt Ltd.,www.wockhardtin.com
Pierre Fabre,www.pierre-fabre.com
