approved,country,dosage-form,dpd-id,ema-product-code,ema-product-number,ended-marketing-on,fda-application-number,generic,labeller,name,ncd-id,ncd-product-code,over-the-counter,route,source,started-marketing-on,strngth
False,EU,"Injection, solution, concentrate",,EMEA/H/C/000122,EU/1/97/035/004,2012-07-27,,False,Celgene Europe Limited,Refludan,,,False,Intravenous,EMA,1997-03-13,20 mg
True,US,Solution,,,,,BLA125084,False,Im Clone Llc,Erbitux,,66733-958,False,Intravenous,FDA NDC,2007-10-02,2 mg/mL
True,Canada,Solution,02046733,,,,,False,Hoffmann La Roche,Pulmozyme 1mg/ml,,,False,Respiratory (inhalation),DPD,1994-12-31,1 mg
True,US,"Injection, solution",,,,2017-01-31,BLA103767,False,Eisai Limited,Ontak,,62856-603,False,Intravenous,FDA NDC,2008-10-15,150 ug/mL
True,Canada,Solution,02462869,,,,,False,Sandoz Canada Incorporated,Erelzi,,,False,Subcutaneous,DPD,2017-08-04,50 mg
True,US,Injection,,,,,NDA208374,False,Baxter Laboratories,Bivalirudin in 0.9% Sodium Chloride,,0338-9576,False,Intravenous,FDA NDC,2017-12-21,500 mg/100mL
True,Canada,"Injection, powder, for suspension, extended release; Kit",02462699,,,,,False,Pendopharm Division Of De Pharmascience Inc,Zeulide Depot,,,False,Intramuscular,DPD,,28.13 mg
True,Canada,Solution; Tablet,02253429,,,,,False,Hoffmann La Roche,Pegasys Rbv,,,False,Oral; Subcutaneous,DPD,2004-05-26,
True,Canada,"Powder, for solution",02009285,,,1997-08-26,,False,"Genentech, Inc.",Lysatec RT - Pa,,,False,Intravenous,DPD,1993-12-31,
False,,,,,,,,False,,,,,False,,,,
True,Canada,Liquid,01959077,,,2000-08-01,,False,The Wellcome Foundation Ltd.,Wellferon Inj 3000000unit/ml,,,False,Intramuscular; Subcutaneous,DPD,1992-12-31,3000000 unit
False,EU,"Injection, solution",,EMEA/H/C/000333,EU/1/01/184/044,2008-12-11,,False,Dompé Biotec S.P.A.,Nespo,,,False,Intravenous; Subcutaneous,EMA,2001-06-08,500 μg
