left-id,left-name,right-id,right-name,sequence
DB00047,Insulin Glargine,DBMET00786,A21-Gly-des-B30-Thr-insulin,1
DB00047,Insulin Glargine,DBMET00787,A21-Gly-insulin,1
DB00091,Cyclosporine,DBMET00359,Metabolite AM1,1
DB00115,Cyanocobalamin,DB03614,Methylcobalamin,1
DB00115,Cyanocobalamin,DB11191,Cobamamide,1
DB00118,Ademetionine,DBMET00503,Cysteine,1
DB00118,Ademetionine,DBMET00506,Methionine,1
DB00118,Ademetionine,DBMET00508,Homocysteine,1
DB00118,Ademetionine,DBMET00514,S-Adenosylhomocysteine,1
DB00118,Ademetionine,DBMET00486,Cystathionine,1
DB00126,Vitamin C,DBMET00799,ascorbic acid-2-sulfate,1
DB00126,Vitamin C,DBMET00552,Oxalic acid,1
DB00129,Ornithine,DBMET00502,L-Arginine,1
DB00129,Ornithine,DBMET00494,Proline,1
DB00136,Calcitriol,DBMET00575,Calcitroic acid,1
DB00153,Ergocalciferol,DBMET00596,25-Hydroxyvitamin D2-25-glucuronide,1
DB00153,Ergocalciferol,DBMET00597,Vitamin D2 3-glucuronide,1
DB00153,Ergocalciferol,DBMET00608,25-Hydroxyvitamin D2 25-(beta-glucuronide),1
DB00162,Vitamin A,DBMET01736,All-trans-retinal,1
DB00169,Cholecalciferol,DBMET00609,"(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)",1
DB00176,Fluvoxamine,DBMET01673,Fluvoxamino alcohol,1
DB00176,Fluvoxamine,DBMET00250,fluvoxamino acid,1
DB00177,Valsartan,DBMET00011,Valeryl-4-hydroxyvalsartan,1
DB00178,Ramipril,DBMET00841,Diketopiperazine acid,1
DB00178,Ramipril,DBMET00842,Diketopiperazine ester,1
DB00178,Ramipril,DBMET00995,Ramiprilat,1
DB00182,Amphetamine,DBMET00733,4-hydroxyamphetamine,1
DB00184,Nicotine,DBMET00515,N-Methylnicotinium,1
DB00184,Nicotine,DBMET00516,Nicotine imine,1
DB00184,Nicotine,DBMET00519,Cotinine,1
DB00184,Nicotine,DBMET00520,Nornicotine,1
DB00184,Nicotine,DBMET00524,Nicotine glucuronide,1
DB00184,Nicotine,DBMET00526,Norcotinine,1
DB00184,Nicotine,DBMET00533,Nicotine-1'-N-oxide,1
DB00184,Nicotine,DBMET00613,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,1
DB00184,Nicotine,DBMET00643,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol,1
DB00184,Nicotine,DBMET01717,"(S)-Nicotine delta-1',5'-iminium ion",1
DB00184,Nicotine,DBMET01718,2'-Hydroxynicotine,1
DBMET00516,Nicotine imine,DBMET00519,Cotinine,2
DBMET00519,Cotinine,DBMET00529,Cotinine N-oxide,2
DBMET00519,Cotinine,DBMET00527,3'-Hydroxycotinine,2
DBMET00519,Cotinine,DBMET00520,Nornicotine,2
DBMET00519,Cotinine,DBMET00533,Nicotine-1'-N-oxide,2
DBMET00519,Cotinine,DBMET00517,Cotinine glucuronide,2
DB00185,Cevimeline,DBMET00430,cevimeline trans-sulfoxide,1
DB00185,Cevimeline,DBMET00431,cevimeline cis-sulfoxide,1
DB00185,Cevimeline,DBMET00432,cevimeline cis-sulfoxidation,1
DB00185,Cevimeline,DBMET00433,cevimeline N-oxide,1
DB00185,Cevimeline,DBMET00488,Glucuronic acid,1
DB00186,Lorazepam,DBMET00648,Lorazepam glucuronide,1
DB00187,Esmolol,DBMET00536,Methanol,1
DB00188,Bortezomib,DBMET01061,Bortezomib metabolite M1,1
DB00188,Bortezomib,DBMET01062,Bortezomib metabolite M2,1
