coder,drugbank-id,language,synonym
,BIOD00024,,Lepirudin recombinant
,BIOD00071,,"Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer"
,BIOD00001,,Recombinant deoxyribonuclease (DNAse)
,BIOD00084,,NAD(+--diphthamide ADP- ribosyltransferase)
,BIOD00052,,TNFR-Immunoadhesin
,DB02351,,Hirulog
,BIOD00009,,PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet
,BIOD00043,,Pegylated interferon alpha2a
,BIOD00050,,tPA
,DB00084,,LeIF A
,BIOD00032,,"Darbepoetin alfa,recombinant"
,BIOD00030,,Urokinase-type plasminogen activator precursor
,BIOD00013,,"Reteplase,recombinant"
,DB08923,,SH-polypeptide-72
,BIOD00025,,Salmon calcitonin
,BIOD00094,,pegfilgrastim-jmdb
,BIOD00035,,GM-CSF
,BIOD00011,,L-asparagine amidohydrolase
,BIOD00020,,TSH
,DBSALT002413,,Recombinant antihemophilic factor VIII
,BIOD00060,,IRAP
,BIOD00036,,Gramicidine
,BIOD00091,,IVIg
,BIOD00102,,APSAC
,DB08914,,"Regular Insulin, human"
,BIOD00019,,TNK-tPA
,BIOD00018,,Menotropins (FSH;LH)
,BIOD00017,,Interferon gamma-2a
,DB00037,,SH-polypeptide-46
,BIOD00061,,Desmopressinum
,BIOD00006,,rFVIIa
,BIOD00021,,Interleukin-11 precursor
,BIOD00042,,24-163 fibroblast growth factor 7 (human)
,BIOD00057,,Glucagonum
,BIOD00082,,Recombinant interleukin-2 human
,BIOD00070,,RimabotulinumtoxinB
,BIOD00056,,Lutropin beta chain precursor
,BIOD00054,,OspA lipoprotein
,DB01310,,"Insulin,lispro,protamine/rDNA"
,DB01308,,Insulin glargine recombinant
,DB11249,,Collagenase
,BIOD00090,,Uricase
,BIOD00115,,Cetrorelixum
,BIOD00049,,adalimumab-atto
,DB06417,,Somatropin(recombinant DNA origin)
,BIOD00041,,c7E3
,BIOD00068,,Recombinant human activated protein C (rH-APC)
,BIOD00108,,Indium-111 satumomab pendetide
,BIOD00002,,API
,BIOD00079,,Peg/L-asparaginase
,BIOD00093,,Interferon-beta-1a
,BIOD00100,,Adenosine deaminase
,DB00064,,Serum albumin
,BIOD00063,,Intrifiban
,BIOD00004,,Infliximab-qbtx
,DB09024,,rFSH-alpha
,DB09392,,"Vasopressin, unspecified"
,BIOD00078,,Recombinant interferon beta-1b
