drugbank-id,identifier,resource
BIOD00024,11916,Drugs Product Database (DPD)
BIOD00024,46507011,PubChem Substance
BIOD00024,D06880,KEGG Drug
BIOD00024,PA450195,PharmGKB
BIOD00024,P01050,UniProtKB
BIOD00024,DAP000541,Therapeutic Targets Database
BIOD00024,Lepirudin,Wikipedia
BIOD00024,CHEMBL1201666,ChEMBL
BIOD00071,13175,Drugs Product Database (DPD)
BIOD00071,46507042,PubChem Substance
BIOD00071,D03455,KEGG Drug
BIOD00071,J00228,GenBank
BIOD00071,PA10040,PharmGKB
BIOD00071,DNC000788,Therapeutic Targets Database
BIOD00071,Cetuximab,Wikipedia
BIOD00071,CHEMBL1201577,ChEMBL
BIOD00001,650,Drugs Product Database (DPD)
BIOD00001,46507792,PubChem Substance
BIOD00001,M55983,GenBank
BIOD00001,PA10318,PharmGKB
BIOD00001,P24855,UniProtKB
BIOD00001,DAP000981,Therapeutic Targets Database
BIOD00001,Dornase_alfa,Wikipedia
BIOD00001,CHEMBL1201431,ChEMBL
BIOD00084,46506950,PubChem Substance
BIOD00084,V01536,GenBank
BIOD00084,PA164750594,PharmGKB
BIOD00084,P00587,UniProtKB
BIOD00084,DAP001098,Therapeutic Targets Database
BIOD00084,Denileukin_diftitox,Wikipedia
BIOD00084,CHEMBL1201550,ChEMBL
BIOD00052,12032,Drugs Product Database (DPD)
BIOD00052,46506732,PubChem Substance
BIOD00052,C07897,KEGG Compound
BIOD00052,D00742,KEGG Drug
BIOD00052,M32315,GenBank
BIOD00052,PA449515,PharmGKB
BIOD00052,P20333,UniProtKB
BIOD00052,DNC000605,Therapeutic Targets Database
BIOD00052,Etanercept,Wikipedia
BIOD00052,CHEMBL1201572,ChEMBL
DB02351,12945,Drugs Product Database (DPD)
DB02351,59173,ChEBI
DB02351,16129704,PubChem Compound
DB02351,46507415,PubChem Substance
DB02351,D03136,KEGG Drug
DB02351,10482069,ChemSpider
DB02351,PA10032,PharmGKB
DB02351,DAP000542,Therapeutic Targets Database
DB02351,Bivalirudin,Wikipedia
DB02351,CHEMBL2103749,ChEMBL
BIOD00009,1756,Drugs Product Database (DPD)
BIOD00009,6427,ChEBI
BIOD00009,46507635,PubChem Substance
BIOD00009,C07612,KEGG Compound
BIOD00009,D08113,KEGG Drug
BIOD00009,PA450203,PharmGKB
BIOD00009,DAP000020,Therapeutic Targets Database
BIOD00009,Leuprolide,Wikipedia
BIOD00009,CHEMBL1201199,ChEMBL
BIOD00043,13246,Drugs Product Database (DPD)
BIOD00043,46504860,PubChem Substance
BIOD00043,J00207,GenBank
BIOD00043,PA164749390,PharmGKB
BIOD00043,P01563,UniProtKB
BIOD00043,DAP001278,Therapeutic Targets Database
BIOD00043,Peginterferon_alfa-2a,Wikipedia
BIOD00043,CHEMBL1201560,ChEMBL
BIOD00050,7297,Drugs Product Database (DPD)
BIOD00050,46507035,PubChem Substance
BIOD00050,D02837,KEGG Drug
BIOD00050,L00153,GenBank
BIOD00050,PA164776730,PharmGKB
BIOD00050,P00750,UniProtKB
BIOD00050,DAP000203,Therapeutic Targets Database
BIOD00050,Alteplase,Wikipedia
BIOD00050,CHEMBL1201593,ChEMBL
BIOD00033,46507399,PubChem Substance
BIOD00033,C08192,KEGG Compound
BIOD00033,PA164749110,PharmGKB
BIOD00033,DAP001055,Therapeutic Targets Database
BIOD00033,Sermorelin,Wikipedia
DB00084,7651,Drugs Product Database (DPD)
DB00084,46506227,PubChem Substance
DB00084,J00207,GenBank
DB00084,PA164746538,PharmGKB
DB00084,P01563,UniProtKB
DB00084,DAP001280,Therapeutic Targets Database
DB00084,CHEMBL2108509,ChEMBL
BIOD00032,12550,Drugs Product Database (DPD)
BIOD00032,46504480,PubChem Substance
BIOD00032,X02158,GenBank
BIOD00032,PA164743138,PharmGKB
BIOD00032,P01588,UniProtKB
BIOD00032,DAP000800,Therapeutic Targets Database
BIOD00032,Darbepoetin_alfa,Wikipedia
BIOD00032,CHEMBL1201566,ChEMBL
BIOD00030,2012,Drugs Product Database (DPD)
BIOD00030,46506299,PubChem Substance
BIOD00030,X02419,GenBank
BIOD00030,PA451836,PharmGKB
BIOD00030,P00749,UniProtKB
BIOD00030,DAP001194,Therapeutic Targets Database
BIOD00030,Urokinase,Wikipedia
BIOD00030,CHEMBL1201420,ChEMBL
BIOD00113,11167,Drugs Product Database (DPD)
BIOD00113,5523,ChEBI
BIOD00113,5311128,PubChem Compound
BIOD00113,46507336,PubChem Substance
BIOD00113,D00573,KEGG Drug
BIOD00113,4470656,ChemSpider
BIOD00113,PA164747674,PharmGKB
BIOD00113,DAP000023,Therapeutic Targets Database
BIOD00113,Goserelin,Wikipedia
BIOD00113,CHEMBL1201247,ChEMBL
BIOD00013,11534,Drugs Product Database (DPD)
BIOD00013,46506092,PubChem Substance
BIOD00013,L00153,GenBank
BIOD00013,PA164743728,PharmGKB
BIOD00013,P00750,UniProtKB
BIOD00013,DAP001195,Therapeutic Targets Database
BIOD00013,Reteplase,Wikipedia
BIOD00013,CHEMBL2107885,ChEMBL
DB08923,299,Drugs Product Database (DPD)
DB08923,46508122,PubChem Substance
DB08923,X02158,GenBank
DB08923,PA10072,PharmGKB
DB08923,P01588,UniProtKB
DB08923,DAP000202,Therapeutic Targets Database
DB08923,Epoetin_alfa,Wikipedia
DB08923,CHEMBL1201565,ChEMBL
BIOD00025,13186,Drugs Product Database (DPD)
BIOD00025,46506061,PubChem Substance
BIOD00025,C06865,KEGG Compound
BIOD00025,D00249,KEGG Drug
BIOD00025,Y00765,GenBank
BIOD00025,PA448715,PharmGKB
BIOD00025,P01263,UniProtKB
BIOD00025,DAP001302,Therapeutic Targets Database
BIOD00025,Calcitonin,Wikipedia
BIOD00023,46508902,PubChem Substance
BIOD00023,PA164746228,PharmGKB
BIOD00023,DAP001281,Therapeutic Targets Database
BIOD00023,Interferon_alfa-n3,Wikipedia
BIOD00023,CHEMBL2109047,ChEMBL
BIOD00094,12313,Drugs Product Database (DPD)
BIOD00094,46505853,PubChem Substance
BIOD00094,D06889,KEGG Drug
BIOD00094,X03438,GenBank
BIOD00094,PA164781387,PharmGKB
BIOD00094,P09919,UniProtKB
BIOD00094,DAP000395,Therapeutic Targets Database
BIOD00094,Pegfilgrastim,Wikipedia
BIOD00094,CHEMBL1201568,ChEMBL
BIOD00035,46507000,PubChem Substance
BIOD00035,M13207,GenBank
BIOD00035,PA164748631,PharmGKB
BIOD00035,P04141,UniProtKB
BIOD00035,DAP001053,Therapeutic Targets Database
BIOD00035,Sargramostim,Wikipedia
BIOD00035,CHEMBL1201670,ChEMBL
BIOD00039,2067,Drugs Product Database (DPD)
BIOD00039,46508060,PubChem Substance
BIOD00039,PA164760844,PharmGKB
